Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
,"Cain, Noble","Lullay, My Jesu",2223,45,SSA,Harold Flammer,,,Christmas,Piano,,,,,,,,,,,,,,,,,
,"Cain, Noble",Bed in Summer,142 /2 envelopes,98,SATB,Boosey Hawkes Belwin,,,,piano,,,,,,,,,,,,,,,,,
,"Cain, Noble",The Cloud,145 /2 envelopes,96,SATB,Boosey Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Cain, Noble",I Been Buked,148 /2 envelopes,100,SATB,Boosey Hawkes Belwin,,,Negro Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Cain, Noble",Ode to America,154 /2 envelopes,73,SATB divisi,H. Flammer,,,,"opt band, orchestra",,,,,,,,,,,,,,,,,
,"Cain, Noble",Spirit ob De Lord Done Fell,158 /2 envelopes,125,SATB divisi,Boosey Hawkes Belwin,,,Spiritual,piano,,,,,,,,,,,,,,,,,
,"Cain, Noble",Stan' Steady,159 /2 envelopes,94,SATB divisi,Boosey Hawkes,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Cain, Noble",Tom-big-bee River,161 /2 envelopes,94,SATB divisi,Boosey Hawkes,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Caldara, Antonio",Alleluia,164,42,,Edition Musicus,,,,,,,,,,,,,,,,,,,,,
Quinto Maganini,"Caldara, Antonio",Alleluia,164 /2 envelpes,42,SATB,Edition Musicus,,,,A cappella,,,,,,,,,,,,,,,,,
,"Caldwell, Mary E.","Jesu, Friend of My Delight",2480,2,Unison,Sacred Music Press,,,,Piano,,,,,,,,,,,,,,,,,
,"Caldwell, Mary Elizabeth",Sing Out For America,1528,5,Unison,Hinshaw Music,,,Patriotic,"Piano, opt trumpet and percussion",,,,,,,,,,,,,,,,,
,"Calvisius, Sethus",Berühmtes Weihnachtslied (Celebrated Christmas-Song),165,16,SSTBBB,G. Schirmer,,,c. 1587/Christmas,A'cappella,,,,,,,,,,,,,,,,,
,"Calvisius, Sethus",Celebrated Christmas Song,165,16,,G. Schirmer,,,,,,,,,,,,,,,,,,,,,
,"Campbell-Tipton, Louis",A Spirit Flower,166,34,,G. Schirmer,,,,,,,,,,,,,,,,,,,,,
,"Campbell, Robert",If We Ever Needed the Lord Before,1548,10,SATB,Carl Fischer,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
Wallingford Riegger,Campwell-Tipton,A Spirit Flower,166,34,SATB,G. Schirmer,,,,piano,,,,,,,,,,,,,,,,,
Walter Aschenbrenner,"Canic, J.",Ave Maria,167,29,SSAATTBB,C. Fischer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Canic, J.",Ave Maria,167,29,,Carl Fischer,,,,,,,,,,,,,,,,,,,,,
Robert Russell Bennett,"Carey, Henry",America,168,39,SATB,Lawson-Gould,,,,piano,,,,,,,,,,,,,,,,,
Bennet,"Carey, Henry",America The Beautiful,168,44,,Lawson-Gould,,,,,,,,,,,,,,,,,,,,,
,"Carey, Paul",Carols,2649,25,SSAA,No info,,,"Collection, Christmas",A cappella,,,,,,,,,,,,,,,,,
"Chinn, Teena","Carmichael, Hoagy",Georgia On My Mind,1560,8,SATB,Peer International,,,Jazz,Piano and rhythm section,,,,,,,,,,,,,,,,,
,"Carmichael, Ralph",Love is Surrender,1234,12,SATB,Lexicon,,,Jazz,Piano ,,,,,,,,,,,,,,,,,
"Treharne, Bryceson","Carpenter, John Alden",The Sleep That Flits On Baby's Eyes,2199,6,SSA,Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
Averre,"Carpenter, Richard",Yesterday Once More,1203,20,SATB,Almo Music,,,,Piano,,,,,,,,,,,,,,,,,
,"Carpentier, M.A.",Song of the Birth of Our Lord Jesus Christ,173,26,,Concordia  House,,,,,,,,,,,,,,,,,,,,,
,"Carrillo, Cesar Alajandro",Videntes stellam Magi,2333,10,SSAA,Earthsongs,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
,"Carrillo, Cesar Alejandro",O Magnum Mysterium,1708,19,SATB,Earthsongs,,,,A cappella,,,,,,,,,,,,,,,,,
,"Carsi, Giuseppe",Adoramus Te,169,68,,Neil A. Kjow,,,,,,,,,,,,,,,,,,,,,
,"Carter, Elliot",Heart Not So Heavy as Mine,170,15,,Assoc. Music ,,,,,,,,,,,,,,,,,,,,,
,"Carter, Elliot",Muscians Wrestle Everywhere,171,16,,Music Press ,,,,,,,,,,,,,,,,,,,,,
,"Carter, Elliott",Heart Not So Heavy As Mine,170,15,SATB,Associated Music Pub.,,,,A cappella,,,,,,,,,,,,,,,,,
,"Carter, Elliott",Musicians Wrestle Everywhere,171 /2 envelopes,44,SSATB,Theodore Presser Co.,,,,"A cappella, or w/strings",,,,,,,,,,,,,,,,,
,"Carter, Elliott",The Harmony of Morning,2227 /2 envelopes,30,SSAA,Associated Music Publishers,,,,Chamber Orchestra,,,,,,,,,,,,,,,,,
,"Carter, John",Alleluia,1552,10,SATB,Carl Fischer,,,Sacred,A cappella,,,,,,,,,,,,,,,,,
,"Carter, John",Winter Haiku,2259,33,SSA,Jenson,,,,Piano and flute,,,,,,,,,,,,,,,,,
,"Casals, Pablo",Nigra Sum (I Am Black),2372,15,SSA,Tetra/Continuo ,,,,Piano or organ,,,,,,,,,,,,,,,,,
,"Casals, Pau",O Vos Omnes,2296,20,SATB,Editorial de Musica Boileau,,,,"Organ or piano, divisi",,,,,,,,,,,,,,,,,
,"Caviani, Ron",Burst Into Music,1588,5,SATB,Mark Foster,,,,A cappella,,,,,,,,,,,,,,,,,
,"Certon, Pierre",Je le vous dirail! (I'll Say it Anyway!),1416,36,SATB,Hinshaw Music,,,Chanson,A cappella,,,,,,,,,,,,,,,,,
,"Cesals, Pablo",Nigra Sum ,1949 /2 envelopes,42,SSA,Tetra/Continua music,,,,Piano or organ,,,,,,,,,,,,,,,,,
,"Chadwick, George W.",Mexican Serenade,172,22,SATB,Silver Burdett,,,,piano,,,,,,,,,,,,,,,,,
,"Chadwick, George W.",Mexican Serenade,172,22,,Silver-Burdett,,,,,,,,,,,,,,,,,,,,,
,"Charpentier, Marc-Antoine",Messe de Minuit pour Noel (Midnight Mass for Christmas),2615,52,SATB,Concordia,,,Extended Work,"Piano, orchestra",,,,,,,,,,,,,,,,,
H. Wiley Hitchcock,"Charpentier, Marc-Antoine",Song of the Birth of Our Lord Jesus Christ,173 /2 envelopes,25,SATB,Concordia,,,,"Solo voices, mixed chorus, 2 violins, & Continuo",,,,,,,,,,,,,,,,,
,"Chass, Blanche",Hanukah Lights,1361,15,SATB,Mark Foster,,,Hanukah,Piano,,,,,,,,,,,,,,,,,
,"Chatman, Stephen",There is Sweet Music Here,1439,25,SSAATTBB,Jaymar Music,,,," Oboe Obbligato, a cappella",,,,,,,,,,,,,,,,,
,"Chatman, Stephen",Varied Thrushers (From Due North),1710,30,SATB,ECS Publishing,,,,"A cappella, whistlers",,,,,,,,,,,,,,,,,
,"Chaves, Carlos",Tierra Mojada (Wet Earth),174,47,,Boosey & Hawkes,,,,,,,,,,,,,,,,,,,,,
,"Chávez, Carlos","Tierra Mojada, ""Wet Earth""",174,47,SATB,Boosey Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Cheetham, John",Reflections From a Country Parson,1711,40,SATB,Plymouth Music,,,,A cappella,,,,,,,,,,,,,,,,,
"Jacobson, Joshua","Chen, Nira",Dodo Li,1712,97,SATB,World Music Press,,,Israeli love song,"A cappella, optional piano, flute, and clarinet",,,,,,,,,,,,,,,,,
,"Chen, Yi",A Set of Chinese Folk Songs Vol 2,1950,16,SATB,Theodore Presser,,,,A cappella,,,,,,,,,,,,,,,,,
,"Chen, Yi",A Set of Chinese Folk Songs Vo. 1,2087,29,SATB,Theodore Presser,,,,Opt piano,,,,,,,,,,,,,,,,,
,"Chen, Yi",A Set of Chinese Folk Songs Vol 3,2028 /2 envelopes,35,SATB,Theodore Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Chenoweth, Wilbur",Of the Father's Love Begotten,175,50,SATB,Lawson-Gould,,,,Organ,,,,,,,,,,,,,,,,,
,"Chenoweth, Wilbur",Of the Father's Love Begotten,175,51,SATB,Gould-Lawson,,,,,,,,,,,,,,,,,,,,,
"Riegger, W.",Cherbuini,"Come, O Jesus Saviour Mine (Veni Jesu)",906,28,SATB,Harold Flammer,,,Motet,Piano or organ,,,,,,,,,,,,,,,,,
,"Chesnokov, Pavel",Spaseniye sodelal (Savation is Created),1417 /2 envelopes,8 (full score),SATB,Musica Russica,,,Extended,Many individual parts (more full scores in 48/1007,,,,,,,,,,,,,,,,,
,Chilcott,"Gift to be Simple, The",1611,25,SATB,Hal Leonard,,,Shaker Tune,Piano,,,,,,,,,,,,,,,,,
,"Chilcott, Bob",Can You Hear Me?,1075,3,SS,Oxford,,,,Piano,,,,,,,,,,,,,,,,,
,"Chilcott, Bob",In the Heart of the World,1714,48,SATB,Oxford,,,,Piano,,,,,,,,,,,,,,,,,
,"Chilcott, Bob",The Twelve Days of Christmas,2654,73,SATB,Oxford,,,"Extended Arrangment - 10 min, Christmas",Piano and percussion,,,,,,,,,,,,,,,,,
,"Chilcott, Bob",Put Memory Away,1713 /2 envelopes,2,SATB,Oxford,,,,Strings,,,,,,,,,,,,,,,,,
,"Childs, David N",Where Your Bare Foot Walks,1951,14,SATB ,Walton Music,,,,A cappella divisi,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Beautiful Savior,176,50,SATB,Augsburg Publ. House,,,,A cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Celestial Spring- IV. Glorification,179,21,SATB,Augsburg Publ. House,,,,A cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Hosanna,180,26,SATB divisi,Augsburg Publ. House,,,,A cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",In Heaven Above (Norwegian Folk Song),181,91,"SATB, sop solo",Augsburg Publ. House,,,,"Treble solo, SATB a cappella",,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Lost in the Night,182,29,"SATB, sop solo",Augsburg Publ. House,,,,"Soprano solo, SATB a cappella",,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Lullabye On Christmas Eve,183,53,"SATB, sop solo",Augsburg Publ. House,,,Christmas,"Soprano solo, SATB a cappella",,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",O Darkest Woe No. 2,184,53,"ATB, alto solo",Augsburg Publ. House,,,,"Alto solo, ATB a cappella",,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",O Sacred Head,185,6,SATB,Augsburg Publ. House,,,,A cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Today There is Ringing,187,41,SATB,Augsburg Publ. House,,,,a cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Vigil,188,27,SATB,Augsburg Publ. House,,,,a cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Celestial Spring- II. Exaltation,177 /2 envelopes,54,SATB divisi,Augsburg Publ. House,,,,A cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Clap Your Hands,178 /2 envelopes,51,SATB,Augsburg Publ. House,,,,A cappella,,,,,,,,,,,,,,,,,
,"Christiansen, F. Melius",Praise to the Lord,186 /2 envelopes,47,SATB,Augsburg Publ. House,,,,opt orchestra,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Beautiful Savior,176,51,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Celestial Spring - Exulatation,177,54,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Clap Your Hands,178,51,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Glorification IV,179,21,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Hosanna,180,24,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",In Heaven Above,181,91,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Lost in The Night,182,29,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Lullaby on Christmas Eve,183,53,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",O Darkest Woe,184,53,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",O Sacred Head,185,6,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
`,"Christiansen, F.M.",Praise to The Lord,186,55,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",Today There is Ringing,187,41,,Augsburg  House,,,,,,,,,,,,,,,,,,,,,
,"Christiansen, F.M.",When Curtained Darkness Falls,189 /2 envelopes,52,SATB,Augsburg  House,,,,a cappella,,,,,,,,,,,,,,,,,
,"Christiansen, Paul",O Thou Most High,190,32,,G. Schirmer,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Christiansen, Paul",Festival Hymn,1604,3,SATB,Augsburg  House,,,Dutch Tune,A cappella,,,,,,,,,,,,,,,,,
,"Christianson, James",America-Let Freedom Ring,116,23,SATB,Mimeographed Copies,,,,,,,,,,,,,,,,,,,,,
,"Christy, Van A.","Gently, Johnny",191,2,SSAATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
,"Christy, Van A.",While I Did Watch My Sheep At Night,192,51,SATB,G. Schirmer,,,,a cappella,,,,,,,,,,,,,,,,,
Waring,"Churchill, Stuart",Wanderin',193,48,SATB,Shawnee Press,,,American Folk Tune,Piano,,,,,,,,,,,,,,,,,
,"Claflin, Avery",Lament for April 15,194 /2 envelopes,42,SSATB,Assoc. Music ,,,,a cappella,,,,,,,,,,,,,,,,,
,"Clark, K.",Pretty Saro,891,30,SATB,Fischer,,,Eastern American,Piano,,,,,,,,,,,,,,,,,
,"Clausen, R.",Deep River,1408,19,SATB,Mark Foster,,,Spiritual,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Clausen, R.","Water Is Wide, The",1606 /2 envelopes,35 + inst.,SATB Div.,Mark Foster,,,American folk,"Inst. Parts Bb Clarinet, Horn in F, Cello",,,,,,,,,,,,,,,,,
,"Clausen, Rene",Tang Que Je Vive,1719,72,SATB,Santa Barbara Publishing,,,,Piano,,,,,,,,,,,,,,,,,
,"Clausen, Rene",In Pace,1716 /2 envelopes,40,SSAATTBB,Mark Foster,,,,A cappella,,,,,,,,,,,,,,,,,
,"Clausen, Rene","O My Luve's Like a Red, Red Rose",1717 /2 envelopes,80,SATB,Mark Foster,,,,"violin, cello and piano",,,,,,,,,,,,,,,,,
,"Clausen, Rene",Simple Gifts,1718 /2 envelopes,51,SATB,Fostco Music Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Clement, Jacques",Adoramus te,1998,54,SATB,Mercury Music,,,,A cappella,,,,,,,,,,,,,,,,,
,"Clement, Jacques","Come Now, Ye Maidens",2411,2,SATB,Marks Music,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Clement, John",Flower of Beauty,1720,48,SATB,ECS Publishing,,,,A cappella,,,,,,,,,,,,,,,,,
,"Clokey, Joseph W.","Blow, Blow, Thou Winter Wind",195,52,SATB,C.C. Birchard ,,,,a cappella,,,,,,,,,,,,,,,,,
,"Clokey, Joseph W.",He's Gone Away,196,23,SATB divisi,J. Fischer & Bro.,,,,a cappella,,,,,,,,,,,,,,,,,
,"Clokey, Joseph W.",A Snow Legend,2232,50,SSA,Birchard,,,,Piano,,,,,,,,,,,,,,,,,
,"Clokey, Joseph W.",Flower of Dreams,2233,6,SSA,Birchard,,,,Piano,,,,,,,,,,,,,,,,,
,Clough-Leighter,"Galway Piper, The",197 /2 envelopes,45,SATB,E.C. Schirmer ,,,Irish folk song,piano,,,,,,,,,,,,,,,,,
,"Coates, John","Winds of the 60's, The",1083,32,SATB,Shawnee Press,,,Choral Montage,Piano,,,,,,,,,,,,,,,,,
Powers,"Cohen, Leonard",Hallelujah,2084,7,SATB,No info,,,,"a cappella, divisi",,,,,,,,,,,,,,,,,
"Cass, Blanche","Cohon, Baruch J.",Hanerot & Halalu,1430,20,SATB,Mark Foster,,,Hanukah,Piano,,,,,,,,,,,,,,,,,
Shaw,Cole/Mills,Streighten Up and Fly Right,1249,20,SATB,Belwin Mills,,,Jazz,Rhythm section,,,,,,,,,,,,,,,,,
,"Coleridge-Taylor, S.",Death of Minnehaha,1115,15,SATB,Novello ,,,"Extended, cantata",Piano,,,,,,,,,,,,,,,,,
,"Coleridge-Taylor, S.",Hiawatha's Wedding Fair,947 /2 envelopes,20,SATB,G. Schirmer,,,Extended,"Orchestra, ten solo",,,,,,,,,,,,,,,,,
,"Collins, Don L.",I Heard the Voice of Jesus Say,1537,5,SATB,Cambiata Press,,,Sacred,Piano,,,,,,,,,,,,,,,,,
,"Concone, Giuseppe",Fifty Lessons for the Medium Part of the Voice,1308,5,Solo voice,Schirmer,,,Collection,Piano,,,,,,,,,,,,,,,,,
,"Cookson, Frank",The Lamplighter,2242,45,SSA,Raymond A Hoffman,,,,piano,,,,,,,,,,,,,,,,,
,"Cooper, Irvin",On Puddicombe Moor,198,14,SATB,Mills Music ,,,folk song,piano,,,,,,,,,,,,,,,,,
,"Cooper, Irwin",When Jesus Christ Was Born,1581,4,SATB,Cambiata Press,,,Christmas,Piano,,,,,,,,,,,,,,,,,
"White, R. Wilding","Copeland, Aaron",The Little Horses,2282,20,SA,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Copeland, Aaron",Ching-a-Ring-Chaw,2361,22,TTBB,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Copeland, Aaron",In The Beginning,2661,5,SATB,Boosey & Hawkes,,,Extended Work,"A cappella, mezzo solo",,,,,,,,,,,,,,,,,
,"Copland, Aaron",The Promise of Living,201,40,SATB,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Copland, Aaron",Simple Gifts (Shaker Song),202,21,SA or TB,Boosey & Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Copland, Aaron",That's The Idea of Freedom,204,56,SATB,Summy-Birchard,,,,piano,,,,,,,,,,,,,,,,,
,"Copland, Aaron","Four Motets, #1 Help Us O Lord",875,30,SATB,Boosey & Hawkes,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Copland, Aaron","Four Motets, #2 Thou, O Jehovah",876,20,SATB,Boosey & Hawkes,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Copland, Aaron","Four Motets, #3 Have Mercy On Us",877,20,SATB,Boosey & Hawkes,,,Motet,A cappella,,,,,,,,,,,,,,,,,
,"Copland, Aaron","Four Motets, #4 Sing Ye Praise",878,20,SATB,Boosey & Hawkes,,,Motet,A cappella,,,,,,,,,,,,,,,,,
Swift,"Copland, Aaron",Younger Generation,1051,35,SSA,Chappell,,,,Piano,,,,,,,,,,,,,,,,,
,"Copland, Aaron",Zion's Walls,1421,7,SATB,Boosey & Hawkes,,,Revivalist Song,Piano,,,,,,,,,,,,,,,,,
R.W. White,"Copland, Aaron",At the River,1422,45,SATB,Boosey & Hawkes,,,Hymn tune,Piano,,,,,,,,,,,,,,,,,
"Fine, Irving","Copland, Aaron",Long Time Ago,1616,32,SATB,Boosey & Hawkes,,,Ballad,Piano,,,,,,,,,,,,,,,,,
"Fine, Irving","Copland, Aaron",I Bought Me a Cat,1423 /2 envelopes,33,"SATB, Soprano and Tenor Solos",Boosey & Hawkes,,,Children's tune,"Piano, ten and sop solos",,,,,,,,,,,,,,,,,
"Fine, Irving","Copland, Aaron",Ching-a-Ring Chaw,1721 /3 envelopes,75,SATB,Bossey and Hawkes,,,,Piano,,,,,,,,,,,,,,,,,
,"Copland, Aaron",Las Agachadas (The Shake-Down Song),199 /2 envelopes,55,Solo SATB and SSATB,Boosey & Hawkes,,,,"Solo SATB and SSATB, a cappella",,,,,,,,,,,,,,,,,
,"Copland, Aaron","Promise of Living, The",201 /3 envelopes,58,SATBB,Boosey & Hawkes,,,Thanksgiving ,"Piano 4-hands, orchestra",,,,,,,,,,,,,,,,,
,"Copland, Aaron",Stomp Your Foot,203 /2 envelopes,48,SATB,Boosey & Hawkes,,,"from ""the Tender Land""",piano 4-hand,,,,,,,,,,,,,,,,,
,Copland/Fine,The Boatman's Dance,1626,35,SATB,Boosey & Hawkes,,,Minstrel Song,"Piano, Baritone Solo",,,,,,,,,,,,,,,,,
,"Corsi, Giuseppe",Adoramus te,169,67,SATB,Kjos,,,,A cappella,,,,,,,,,,,,,,,,,
Shaw-Parker,"Costley, Guillaume","Allon, Gay Bergers",205 /2 envelopes,43,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"Costley, Guillaume","My Leved One, Let's Behold the Rose",206 /2 envelopes,48,SATB,Broude Bro.,,,,A cappella,,,,,,,,,,,,,,,,,
,"Courtney, C.",Let This Mind Be in You,1609,35,SATB,Beckenhorst Press,,,Sacred,Piano,,,,,,,,,,,,,,,,,
,"Courtney, Craig",A Musicological Journey Through the Twelve Days of Christmas,1503 /2 envelopes,55,SATB,Hinshaw Music,,,Christmas,Piano or orchestra,,,,,,,,,,,,,,,,,
,"Cowan, Marie",Waltzing Matilda,208,28,SATB,Oxford Press,,,,A cappella,,,,,,,,,,,,,,,,,
,"Coward, Noel",Zigeuner,2172,4,SSA,Harms Inc,,,,Piano,,,,,,,,,,,,,,,,,
,"Cowen, F.H.","Bridal Chorus, from ""The Rose Maiden""",207,43,SATB,Ginn & Co,,,,piano,,,,,,,,,,,,,,,,,
,"Cox, Douglas & Janet",Soft Rain,908 /2 envelopes,76,SSATTBB,Shawnee Press,,,,Piano,,,,,,,,,,,,,,,,,
,"Cox, Michael","Gardner and I, The",1566,3,SATB,Carl Fischer,,,part song,A cappella,,,,,,,,,,,,,,,,,
DeCormar,"Crawford, Joseph",Amen,209,40,"Tenor solo, SATB",Lawson-Gould,,,,Tenor solo,,,,,,,,,,,,,,,,,
,"Creston, Paul",Three Chorals from Tagore,210,57,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
Lojeski,Crewe/Guardio,Can't Take My Eyes Off You,1143,20,SATB,Waring Publications,,,Pop,"Piano, percussion",,,,,,,,,,,,,,,,,
"Moore, Ray","Croce, Giovanni",Children's Alphabet Song,1485,5,SSATB,Marks Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Crocker, Emily",Sweet Singing in the Choir,1472,4,3-part mixed,Hal Leonard,,,Christmas,Piano,,,,,,,,,,,,,,,,,
"Lubin, Ernest","D'indy, Vincent",Lady of Lovliest Eyes,250,19,SATB,Hall & McCreary,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
,"Daley, Eleanor","In Remembrance from ""Requiem""",2295,19,SATB,Gordon V. Thompson,,,,A cappella,,,,,,,,,,,,,,,,,
Simeone,Darby,T'was the Night Before Christmas,2007,5,SATB,Shawnee Press,,,Christmas,Piano,,,,,,,,,,,,,,,,,
"Kibalchich, Basile","Dargomijsky, A.",Vanka 'n' Tanka,211,70,"Soprano solo, alto solo, SATB",M. Whitmark & Sons,,,,"Soprano solo, Alto solo, A cappella",,,,,,,,,,,,,,,,,
,"Davies, Allan",Go Down Moses,1174,20,SATB,Vortex,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Davies, Allan",Every Time I Feel the Spirit,1223,20,SATB,Vortex,,,Jazz,Rhythm section ,,,,,,,,,,,,,,,,,
,"Davies, Allan",Deep River,1263,20,SATTB,Vortex,,,Jazz,Drums,,,,,,,,,,,,,,,,,
,"Davies, Allan",He's Gone Away,1290,15,SATB,Vortex Music ,,,Jazz,Rhythm Section,,,,,,,,,,,,,,,,,
,"Davies, Ivor",Prayers from the Ark,1521,2 of each ,SATB,Boosey & Hawkes,,,,A cappella,,,,,,,,,,,,,,,,,
,"Davis, Katherine",Carol of the Drum,212,27,SATB,Mills Music ,,,Christmas,A cappella,,,,,,,,,,,,,,,,,
Cassey,Davis/Severinsen,Stop and Smell the Roses,1251,16,SATB,Screen-Gems,,,Jazz,Piano,,,,,,,,,,,,,,,,,
,"Davison, Dan",Ritmo,2359,10,TTBB,Walton,,,,A cappella,,,,,,,,,,,,,,,,,
,Dawson William L.,Ain'-A That Good News!,2395,7,SSAA,Music Press,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Dawson, Alice E.",I am the Wind,216,50,SATB divisi,Neil A. Kjos Music ,,,,A cappella,,,,,,,,,,,,,,,,,
,"Dawson, William",Behold the Star,214,46,"SATB, Echo chorus, Soprano solo, Tenor solo",Tuskegee Music Press,,,Christmas,"Echo chorus, Soprano solo, Tenor solo, a cappella",,,,,,,,,,,,,,,,,
,"Dawson, William",I Couldn't Hear Nobody Pray,217,49,"Soprano solo, SATB mixed",H.T. FitzSimmons,,,Negro spiritual,"Soprano solo, a cappella",,,,,,,,,,,,,,,,,
,"Dawson, William",King Jesus is a-Listening,218,39,SATB,H.T. FitzSimmons,,,Negro spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Dawson, William",Soon Ah Will Be Done,219,34,SATB,Tuskegee Music Press,,,Negro spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Dawson, William",There is a Balm in Gilead,220,57,"Soprano solo, SATB mixed",Tuskegee Music Press,,,,"Soprano solo, a cappella",,,,,,,,,,,,,,,,,
,"Dawson, William",Ain'-a That Good News,1723,70,SATB,Music Press,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Dawson, William L.",Ezekial Saw De Wheel,1724 /4 envelopes,80,SATB,Music Press,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,"Dayley, Eleanor",In Flanders Fields,1645,44,SATB,Warner Bros.,,,,A cappella,,,,,,,,,,,,,,,,,
"Hunt, Charles C.","de Lassus, Ronald",I Know a Young Maiden,247,37,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"De Monte, Philippe",Like as the Turtle Dove (Comme la Tourterelle),229,23,SSATB,Marks Music ,,,Madrigal,A cappella,,,,,,,,,,,,,,,,,
"Wagner, Roger","De Padilla, Juan",Exsultata Iusti in Domino,939 /2 envelopes,50,SATB,Lawson-Gould,,,,A cappella,,,,,,,,,,,,,,,,,
,"Debussy, Claude","Blessed Damozel, The",221,18,"SSAA, narrator",G. Schirmer,,,Lyric Poem,"Sop and Mezzo solos, piano",,,,,,,,,,,,,,,,,
,"Debussy, Claude","Trois Chanson, #1 Dieu! Qu'il la fait bon regarder",880,30,SATB,A. Durand,,,,A cappella,,,,,,,,,,,,,,,,,
,"Debussy, Claude","Trois Chanson, #2 Quant j'ai ouy le tabourin",881,30,SATB,A. Durand,,,,A cappella,,,,,,,,,,,,,,,,,
,"Debussy, Claude","Trois Chason, #3 Yver, vous n'estes qu'un villai",882,30,SATB,A. Durand,,,,A cappella,,,,,,,,,,,,,,,,,
,DeCormier,In That New Jerusalem,864,15,TTBB,Lawson-Gould,,,Spiritual,A cappella,,,,,,,,,,,,,,,,,
,DeCormier,I'se The B'y,1619 /2 envelopes,35,SATB,Lawson-Gould,,,Newfoundland folk song,Piano,,,,,,,,,,,,,,,,,
,"DeCormier, Robert","Dance, Gal, Gimme the Banjo",222,37,SATB,G. Schirmer,,,,Piano,,,,,,,,,,,,,,,,,
,"DeCormier, Robert","Farmer is the Man, The",223,35,SATB,G. Schirmer,,,,A cappella,,,,,,,,,,,,,,,,,
,"DeCormier, Robert",He's Got the Whole World in His Hands,224,18,SATB,G. Schirmer,,,Negro Spiritual,A cappella,,,,,,,,,,,,,,,,,
