Arranger,Composer,Title,Folder/Catalogue #,# Copies,Voicing,Publisher,Publication or Reprint Date,OCLC#,Season / Type,Extra Instruments & Info,,,,,,,,,,,,,,,,,
"Harris, Jerry Weseley","Arkadelt, Jacques","Now Spring, In All Her Glory",2405,2,SSA,Belwin Mills,,,,A cappella,,,,,,,,,,,,,,,,,
,"Arkhangelsk, Aleksandr","Lord, Now Lettest Thou",1921,25,SATB,Musica Russica,,,,A cappella,,,,,,,,,,,,,,,,,
"Lindsay Norden, N.","Arkhangelsky, Alexandre","Day of Judgement, The",9,59,SSATTB,Norden N. Lindsey,,,,a cappella,,,,,,,,,,,,,,,,,
"Krone, Max T.","Arkhangelsky, Alexandre",Hear my Supplication,10,22,SATB,M. Whitmark ,,,,a cappella,,,,,,,,,,,,,,,,,
"Kibalchich, Basile","Arkhangelsky, Alexandre","Incline Thine Ear, Oh Lord",11,32,SATB,M. Whitmark ,,,,a cappella,,,,,,,,,,,,,,,,,
"Gilpin, Greg",Arkin/ Robinson,Black and White,1542,7,SATB,Shawnee Press,,,Racial equity,Piano,,,,,,,,,,,,,,,,,
Rizzo,"Arlen, Harold",Blues in the Night,1166,12,SATB,Warner Bros,,,"Piano, opt guitar and bass","Piano, opt instruments",,,,,,,,,,,,,,,,,
,"Arlen, W.",Stormy Weather,12,57,SATB,Mills Music ,,,,Piano,,,,,,,,,,,,,,,,,
"Kelley, Kenneth G.","Arne, Thomas",Which is the Properest Day,13,68,SATB,Boston Music ,,,,a cappella,,,,,,,,,,,,,,,,,
,Arnesen Kim Andre,Flight Song,2305,26,SATB,Earthsongs,,,,Piano,,,,,,,,,,,,,,,,,
,"Arnesen, Kim Andre",Even When He Is Silent,2297,20,SATB,Walton,,,,"A cappella, divisi",,,,,,,,,,,,,,,,,
,"Arnesen, Kim Andre",Cradle Hymn,2365,17,SSAA,Santa Barbara,,,Christmas,"Piano, opt strings",,,,,,,,,,,,,,,,,
,Arnesky,"Bow Down Thine Ear, O Lord",8,24,SATB,Bayley & Fergusen,,,,a cappella,,,,,,,,,,,,,,,,,
