library,composer,arranger,title,envelope,publisher,score_full/cond/oversized,missing_parts,playingtime,comments,column_11,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Wind Bands,"Schubert, Franz",Calliet,"Symphony No. 8 in B minor, Mvt. 1",212,Fischer,,,11:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Schuman, William",,Newsreel in 5 Shots,213,,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Siegmeister, Elie",,Wilderness Road,214,leeds,,,05:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Siegmeister, Elie",,Five American Folk Songs,215,Leeds,,,10:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Siegmeister, Elie",,Prairie Legend,216,assoc.,,,10:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"shield, Leroy",Cooke,Cuban Carnival,217,Robbins,,,04:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Shostakovich, Dmitri",righter,"Symphony No. 5, Mvt. 4 - Finale",218,Boosey-Hawkes,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Shostakovich, Dmitri",paulson,"Symphony No. 5, Mvt. 2 - Allegretto",219,levant,,,05:10:00,,,,,,,,,,,,,,,,,
Wind Bands,"Shostakovich, Dmitri",cray,Marche Sarcastique,220,,,,,"From ""Hamlet"" missing Dh pic, 2nd flute, xylophone pats",,,,,,,,,,,,,,,,
Wind Bands,"Shostakovich, Dmitri",Smith,Prelude in B minor,221,Schirmer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Sibelius, Jean",Cailliet,Finlandia,222,Fischer,,,05:15:00,,,,,,,,,,,,,,,,,
Wind Bands,"Sibelius, Jean",lake,Valse Triste,223,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Singer,,Deep Blues,224,Leeds,,,02:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Skinner, Frank",,Tap Roots,225,skinner,full,,,,,,,,,,,,,,,,,,,
Wind Bands,Smetana,Winterbottom,"Moldau, The (Vltava)",226,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Smetana, Bedrich",,Vltava,226,hawks & son,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Smith, Leonard B.",,Ecatasy,227,Fischer,,,05:00:00,,,,,,,,,,,,,,,,,
Wind Bands,"Still, Wm.",,From the Delta,228,leeds,,,09:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Strauss, Richard","Harding, A Austin.",Death & Transfiguration,229,Kjos,,,05:50:00,,,,,,,,,,,,,,,,,
Wind Bands,"Strauss, Johann",Leidzen,Perpetuum Mobile,230,Fischer,,,03:30:00,,,,,,,,,,,,,,,,,
Wind Bands,"Strauss, Johann",Laurendear,Die Fledermaus,231,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Strauss, Johann",Brown,Emperor Waltz,232,Boosey-Hawkes,Full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Stravinsky, Igor",Goldman,Berceuse and Finale from The Firebird,233,marks,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Stravinsky, Igor",,Circus Polka,234,Associated,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Strauss, Richard",Godfrey,Der Rosenkavalier,235,Chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Sullivan, Arthur",Lake,Entrance and March of the Peers,236,Fischer,,,5:00,,,,,,,,,,,,,,,,,
Wind Bands,"traver, james",,Western Plains,237,Belwin,full,,,clinic material,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.",,Aria,238,Manuscript,Full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Thomas, ambroise","Leidzen, Erik",The Carnival of Venice,239,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Tobani,,Echoes from the Met,241,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Theo, Mosses Tobani",,The Opera Mirror,242,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Tschesnokoff,Safranek,"Symphony No. 4 in F minor, Mvt. 4 - Finale",243,Fischer,cond,,11:30,,,,,,,,,,,,,,,,,
Wind Bands,"Tchaikovsky, Pyotr Ilyich",pavel,"Watlz from Serenade, Op. 43",244,,,,3:30,"from ""serenade for stungeal orchestra""",,,,,,,,,,,,,,,,
Wind Bands,"Tchaikovsky, Pyotr Ilyich",brown,Symphony No. 6 (pathatique),245,Boosey-Hawkes,,,7:20,mvt. 2 & 4 only,,,,,,,,,,,,,,,,
Wind Bands,"Tchaikovsky, Pyotr Ilyich",Laurendeau,Caprice Italian,246,Fischer,,,11:00,,,,,,,,,,,,,,,,,
Wind Bands,"Verdi, G",Lake,La Forza del Destino,247,Fischer,,,9:00,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, J",,Eulogy,248,Leeds,,,6:00,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Cailliet,Elsa's Procession to the Cathedral,249,Remick,Full,,7:10,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Tobani,"Prelude from ""Die Meistersinger""",250,Fischer,,,10:00,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Grabel,Rienzi,251,Barnhouse,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Safranek,Prelude to Lohengrin,252,Fischer,,,6:00,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Safranek,Gotterdammerung: Lohengrin-Prelude,252,Fischer,,,6:30,Siefreid's Death (funeal March),,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Safranek,Siefried's Death March,252,Fischer,,,6:30,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Lake,Huldigungsmarsch,253,Ditson,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Godfrey,A Faust Overture,254,Chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,"wagner, Richard",O'Neill,Das Rhinegold,255,Fischer,,,6:50,Entry of the gods into Valhalla,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard","Calliet, Lucien",Das Rhinegold: Invocation of Alberich,256,Fox,,,4:30,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Godfrey,Tristan und Isolde: Prelude und Liebstod,257,Boosey-Hawkes,cond.,,,from Tristan & Isolde,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Safranek,"scene from ""Die Walkyrie"" the ring of the Nieblungen",258,Fischer,,,11:30,,,,,,,,,,,,,,,,,
Wind Bands,"walters, harold",,Night Beat,259,Rubank,,,,,,,,,,,,,,,,,,,,
Wind Bands,Wber,Lake,Oberon,260,Fischer,,,9:00,,,,,,,,,,,,,,,,,
Wind Bands,"Weber, C.M. Von",Tobani,Der Freschitz,261,Fischer,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,Weber,Rollinson,Peter Schmoll,262,Ditson,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Weber, C.M. Von",Morelli,Clarinet Concerto No. 2,263,LaFleur,,,,Complete concerto - all movement,,,,,,,,,,,,,,,,
Wind Bands,"Weinberger, J.",Goldman,Czech Rhapsody,264,Mercury,,,4:30,,,,,,,,,,,,,,,,,
Wind Bands,"Weinberger, J.",Bainum,"Polka and Fugue from ""Schwanda""",265,assoc.,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Vaughan-Williams, Ralph",,English Folk Song Suite,266,Boosey-Hawkes,Full,,10:30,,,,,,,,,,,,,,,,,
Wind Bands,"Williams, E",,"Symphony No.1, Mvt. 2",268,williams,full,,10:00,,,,,,,,,,,,,,,,,
Wind Bands,wood,Brown,Manx Overture,269,Boosey-Hawkes,full,,3:30,,,,,,,,,,,,,,,,,
Wind Bands,"Wood, H.",,"American Rhapsody, The",270,Boosey-Hawkes,Full,,9:00,,,,,,,,,,,,,,,,,
Wind Bands,"Wood, H.",,King Orrey,271,Boosey-Hawkes,full,,10:00,,,,,,,,,,,,,,,,,
Wind Bands,Wood,,"Seafarer, The",272,Boosey-Hawkes,full,,8:45,,,,,,,,,,,,,,,,,
Wind Bands,wright & forrest,Leidzen,Song of Norway,273,chappell,,,5:30,,,,,,,,,,,,,,,,,
Wind Bands,"Yoder, Paul",,Harvest Home,274,Belwin,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Yoder, Paul",,Dry Bones,275,Kjos,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Yoder, Paul",,Joshua,276,Kjos,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Yoder, Paul",,Mountain Majesty,277,Belwin,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Yoder, Paul",,"Glass Slipper, The",278,Kjos,,,,,,,,,,,,,,,,,,,,
Wind Bands,,schoenfeld Simeone,"Onward, Christian Soldiers",279,Shawnee,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Moore, D",,Marcho Poco,280,Mills,,,2:30,,,,,,,,,,,,,,,,,
Wind Bands,Loesser,Lang,Guys and Dolls Overture,281,Mills,,,5:00,,,,,,,,,,,,,,,,,
Wind Bands,Rodgers,Leidzen,South Pacific,282,williamson,,,12:00,,,,,,,,,,,,,,,,,
Wind Bands,"Howland, Russell",,Sussex Psalm,283,Boosey-Hawkes,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Strauss, Johann",winter-hibbert,Voices of Spring,284,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Ogden, Gene",,Grand Tetons,285,Boosey - hawkes,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Foster, Stephen",Guzman,Stephen Foster  Melodies,286,foster hall & co.,287,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.","Weiss, Anton",Chorale & Fugue in G minor,288,G. Schirmer,Condensed,,,,,,,,,,,,,,,,,,,
Wind Bands,"Curzon, Frederic",,Bravada,289,Boosey-Hawkes,,,5:00,,,,,,,,,,,,,,,,,
Wind Bands,"Curzon, Frederic",Duthoit,Simonetta,290,Boosey-Hawkes,full,,4:00,,,,,,,,,,,,,,,,,
Wind Bands,"Bennett, R.R.",,Suite of Old American Dances,291,chappell,,,15:25,,,,,,,,,,,,,,,,,
Wind Bands,"bach, J.S.",Leidzen,Toccata and Fugue in D minor,292,Fischer,cond.,,8:25,,,,,,,,,,,,,,,,,
Wind Bands,"Morrissey, John J.",,Carnival Day in New Orleans,293,Remick,,,6:45,,,,,,,,,,,,,,,,,
Wind Bands,"Lee, Dai-Keong",,Joyous Interlude,294,Mills,,,5:00,,,,,,,,,,,,,,,,,
Wind Bands,steiner,marsalex,Symphonie Moderne,295,remick,,,7 1/2 min,,,,,,,,,,,,,,,,,
Wind Bands,Wright & Forrest,Beeler,Kismet,296,Frank Music,,,,,,,,,,,,,,,,,,,,
Wind Bands,Grundman,,An American Scene,297,Boosey-Hawkes,Full,,,Army,,,,,,,,,,,,,,,,
Wind Bands,"Little, Lowell",,Royal Groge,298,Ludwig,full,,,amry,,,,,,,,,,,,,,,,
Wind Bands,"Anderson, Leroy",,Phantom Regiment,299,Mils,,,3:20,AMRY ROTC,,,,,,,,,,,,,,,,
Wind Bands,"Schubert, Franz",Greissle,Military March No. 3,300,Schirmer,full,,,AMRY ROTC,,,,,,,,,,,,,,,,
Wind Bands,"walton, William",Richardson,Orb & Septre,301,boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,McKay,,Wake Me Up for the Great Jubilee,302,presser co.,full,,,,,,,,,,,,,,,,,,,
Wind Bands,harburg and arlen,yoder,The Wizard of Oz Fantasy,303,Feist,,,5:10,,,,,,,,,,,,,,,,,
Wind Bands,"Williams, Clifton",,Hill Country Ballad,304,witmark,Full,,4:00,,,,,,,,,,,,,,,,,
Wind Bands,"Morrissey, John J.",,Ceremonial March,306,Remick,,,4:15,,,,,,,,,,,,,,,,,
Wind Bands,Walters,,Bobby Sox Suite,307,Ludwig,,,,,,,,,,,,,,,,,,,,
Wind Bands,Langenus,,Thunderbird,308,morris,,,5:55,,,,,,,,,,,,,,,,,
Wind Bands,"Handel, G. F.",anderson,Song of Jupiter,309,mills,,,,,,,,,,,,,,,,,,,,
Wind Bands,Newman,Bennett,Conquest,311,Robbins,Full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Rodgers, richard",Bennett,Me & Juliet Selection,312,Williamson,,,8,,,,,,,,,,,,,,,,,
Wind Bands,"Perkins, Frank",Werle,Fandango,313,Mills,,,3:40,,,,,,,,,,,,,,,,,
Wind Bands,"Gillis, Don",Bainum,Symphony No. 5½: A Symphony for Fun - Spiritual,314,Boosey-Hawkes,,,3:30,,,,,,,,,,,,,,,,,
Wind Bands,Rodgers/berntein,bukvich/herserson,Sound of Music/West Side Story Medley,314,manuscript,brown,,,scores in brown folder #13 vocal pts. In brown #15-18,,,,,,,,,,,,,,,,
Wind Bands,Goldman,,Scherzo,315,Templeton,,,4,missing solo pt & score,,,,,,,,,,,,,,,,
Wind Bands,Osser,,Beguine for Band,316,EMS,,,4:05,,,,,,,,,,,,,,,,,
Wind Bands,"Persichetti, Vincent",,Psalm for Band,317,Pikeron,cond.,,7:05,,,,,,,,,,,,,,,,,
Wind Bands,Romberg,schoenfeld Simeone,"Student Prince, The",318,harms,cond,,12 1/2 min,,,,,,,,,,,,,,,,,
Wind Bands,Walters,,"Golden Eagle, The",319,Rubank,,,,Army ROTC,,,,,,,,,,,,,,,,
Wind Bands,"Williamss, Ernest",,"Catskills, The",321,Morris,,,,,,,,,,,,,,,,,,,,
Wind Bands,"johnson, clair",,Summer Scene,322,"shapiro, berstein",,,11,,,,,,,,,,,,,,,,,
Wind Bands,"Tchaikovsky, Pyotr Ilyich",fletcher,Symphony No. 6 (pathetique): Excerpts from Mvts. I & III,323,hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Leidzen,Trauersinfonie,324,assoc.,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Creston, Paul",,Celebration Overture Op. 61,325,Templeton,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Persichetti, Vincent",,Pageant,326,Fischer,full & cond.,,6:30,,,,,,,,,,,,,,,,,
Wind Bands,Hanson,,Chorale and Alleluia,327,Fischer,full,,5:00,,,,,,,,,,,,,,,,,
Wind Bands,"Romberg, Sigmund",Schoenfeld,Desert Song Selections,328,Harms,,,,w/ A part SAIB chorus,,,,,,,,,,,,,,,,
Wind Bands,Haydn,Dutholt,Concerto for Trumpet,329,Chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bukvich, Daniel",,Cowboys,330,Phoebus,full,,,,,,,,,,,,,,,,,,,
Wind Bands,Hermann,,Kiddie Ballet,331,EMS,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Rimsky-Korsakov, Nikolai",,Concerto for trombone 7 band,332,Leeds,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Strauss, Richard",Davis,"Allerseelen, Op. 10/8",333,Ludwig,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.",Cailliet,Chorale and Fugue in E minor,334,Cailliet,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Schuman, William",,George Washington Bridge,335,Schirmer,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Mendelssohn, Felix",,Overture for Band,336,schirmer,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Jacob, Gordon",,Music for a Festival,337,Boosey-Hawkes,338,,29:30:00,,,,,,,,,,,,,,,,,
Wind Bands,Grundman,,Blue - Trail Fly,339,Boosey-Hawkes,Full,,,,,,,,,,,,,,,,,,,
Wind Bands,Rolland,,Overture for Band,340,EPIC,,,,,,,,,,,,,,,,,,,,
Wind Bands,Hadley,,Concert Overture,341,Schirmer,,,,,,,,,,,,,,,,,,,,
Wind Bands,,Gould,"First Noel, the",342,Chappell,,,4:30,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Winterbottom,Homage March,343,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,Zambarano,,National Capital March,345,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,Binge,Cailliet,Red Sombrero,346,samba,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Prokofiev, Serge",Cray,The Love of Three Oranges - March,347,Marks,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Rossini, G",Lake,Barber of Seville,348,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,frescobaldi,slocum,Toccata,349,mill,,,,,,,,,,,,,,,,,,,,
Wind Bands,Hermann,,North Sea Overture,350,EMS,,,,,,,,,,,,,,,,,,,,
Wind Bands,Camarta,"landg, P",Rumbalero,351,Mills,,,,,,,,,,,,,,,,,,,,
Wind Bands,Phillips,Lang,Skyscraper Fantasy,352,mills,,,5:00,,,,,,,,,,,,,,,,,
Wind Bands,Jessel,Morrissey,Parade of the Wooden Soliders,353,Marks,,,,,,,,,,,,,,,,,,,,
Wind Bands,,Bellis,I Rhapsody,355,,,,,,,,,,,,,,,,,,,,,
Wind Bands,Cater,,Motet for Band,356,Hansen,,,,,,,,,,,,,,,,,,,,
Wind Bands,Hermann,,Ballet for Young Americans,357,EMS,,,,,,,,,,,,,,,,,,,,
Wind Bands,Rodgers,lang,Slaughter on Tenth Avenue,358,chappell,,,9:00,,,,,,,,,,,,,,,,,
Wind Bands,Loesser,lang,Most Happy Fella,359,Frank Music,,,9:25,,,,,,,,,,,,,,,,,
Wind Bands,Jenkins,,American Overture for Band,360,Presser,,,,,,,,,,,,,,,,,,,,
Wind Bands,Farrell,,Calypso Joint,361,Leonard,,,,,,,,,,,,,,,,,,,,
Wind Bands,Saylor,,Prisoner of War,362,Kendor,,,,,,,,,,,,,,,,,,,,
Wind Bands,Latham,,Three Chorale Preludes,363,,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Saint-Saëns, Camille",Cray,Carnival of the Animals (sutie 1),364,Elkan - vogel,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Saint-Saëns, Camille",Cray,Carnival of the Animals (sutie 2),365,Elkan - vogel,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Godfrey,Götterdämmerung: Siegfried's Funeral March,366,chappell,,,,also: good Friday mucis from parsifal,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Godfrey,Parsifal: Good Friday Music,366,Chappell,,,,also: Funeral Music from Gotterdammerung,,,,,,,,,,,,,,,,
Wind Bands,"Williams, Clifton",,Symphonic Suite,367,summy,full,,,5 mvts.,,,,,,,,,,,,,,,,
Wind Bands,"Persichetti, Vincent",,Symphony for Band,368,Elkan-Vogel,full,,,4 mvt.,,,,,,,,,,,,,,,,
Wind Bands,"Holst, Gustav",,Hammersmith,369,Boosey-Hawkes,full,,,contemporary,,,,,,,,,,,,,,,,
Wind Bands,"Cable, Howard",,Newfoundland Rhapsody,370,Chappell,,,7:30,,,,,,,,,,,,,,,,,
Wind Bands,willam,,Royce Hall Suite,371,assoc.,full,,,contemporary,,,,,,,,,,,,,,,,
Wind Bands,Warrington,,Original Dixieland Concerto,372,Marks,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Godfrey,Parsifal: Prelude,373,Chappell,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Wagner, Richard",Godfrey,Die Meistersinger: Walther's Prize Song,373,chappell,,,,cornet solo,,,,,,,,,,,,,,,,
Wind Bands,"Rimsky-Korsakov, Nikolai","Harding, A Austin.",Golden Cockerel,374,Kjos,,,,includes:introduction and Wessing march,,,,,,,,,,,,,,,,
Wind Bands,"Bennett, R.R.",,Symphonic Songs for Band,375,chappell,cond.,,,,,,,,,,,,,,,,,,,
Wind Bands,Rhoads,,Musica simpatica,376,Summy,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Schuman, William",,Chester,377,Presser,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Holst, Gustav",,Second Suite for Miltary Band in F,378,Boosey-Hawkes,full,,,,,,,,,,,,,,,,,,,
Wind Bands,Quinn,,Portrait of the Land,379,Kjos,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Copland, Aaron",Beeler,Lincoln Portrait,380,Boosey-Hawkes,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Rene, Henri",werle,Passion in Paint,381,Mills,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Reed, Owen",,La Fiesta Mexicana,382,Mills,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Verdi, Giuseppe",Calliet,Nubucco,384,Fox,full,,8;05,,,,,,,,,,,,,,,,,
Wind Bands,Weed,,Introduction and Scherzo,385,Kjos,Full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Gillis, Don",,Celebration Scene,386,Mills,,,,From twinkle toes ballet,,,,,,,,,,,,,,,,
Wind Bands,gillis,,Two Exotic Dances,387,mills,,,,from tumble toes ballet,,,,,,,,,,,,,,,,
Wind Bands,Gillis,,"January, February, March",388,Boosey-Hawkes,full,,,,,,,,,,,,,,,,,,,
Wind Bands,Rodgers,Warrington,Serenade to Spring,389,Williamson,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Handel, G.F.",Beecham,The Gods Go A-Begging,390,Chappell,,,11:00,five movemnets,,,,,,,,,,,,,,,,
Wind Bands,"Boito, Arrigo",Bainum,Mefistofele,391,E M S,,,,"with choir, brass choir, & organ",,,,,,,,,,,,,,,,
Wind Bands,"Boito, Arrigo",Bainum,"Prolog to ""medistofele""",391,EMS,semi,,,W/choir-brass choir  organ,,,,,,,,,,,,,,,,
Wind Bands,"Schuman, William",,When Jesus Wept,392,presser co.,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"klein, john",,Yellowstone Suite,394,BH,full,,,,,,,,,,,,,,,,,,,
Wind Bands,Kenny,,Coat of Arms,395,,,,,Excellent,,,,,,,,,,,,,,,,
Wind Bands,"Brahms, Johannes",guenther,Two Chorale Preludes,396,summy,full,,5:40,,,,,,,,,,,,,,,,,
Wind Bands,"Beethoven, Ludwig van",Winterbottom,Egmont Overture,397,B.H.,,,,,,,,,,,,,,,,,,,,
Wind Bands,"leist, robert",,Timpat for Solo Timpani and Band,398,mills,,,3:20,,,,,,,,,,,,,,,,,
Wind Bands,"Purcell, Henry","Calliet, Lucien",Dido & Aeneas - Prelude & Passacaglia,399,Elkan - Vogel,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Cascarino, Romeo",,Fanfare & March,400,Concert march,Full,,4:00,,,,,,,,,,,,,,,,,
Wind Bands,"Debussy, Claude",Schaefer,Fetes from Three Nocturnes,401,bandland,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Verdi, Giuseppe",,Manzonu Requiem Exerpts,402,bandland,6 lines,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bilik, Erry",,Caribbean Cruise,403,French,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Debussy, Claude",Sanderson,Reverie,404,French,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bilik, Erry",,Odgden Nash Suite,405,French,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Giannini, Vittorio",,Praeludium & Allegro,406,Ricordi,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Bach, J.S.",Goldman Leist,Fantasia in G major,408,Mercury,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Yoder, Paul",,Drumbeat Jamboree,409,Elkan-Vogel,,,,Downfall of Paris,,,,,,,,,,,,,,,,
Wind Bands,"Reed, Alfred",,Slavonic Folk Suite,410,hansen,,,,,,,,,,,,,,,,,,,,
Wind Bands,Bright,,Prelude & Fugue in F minor,411,Shawnee,full,,6:50,,,,,,,,,,,,,,,,,
Wind Bands,"Cherubini, Luigi",Landes,Lacrymosa,412,Fischer,full,,2:25,from Requiem Mass in C minor,,,,,,,,,,,,,,,,
Wind Bands,Howard,Werle,Milli Attan,413,Mills,full,,4:00,,,,,,,,,,,,,,,,,
Wind Bands,Liszt,Bennett,Second Hungarian Rhapsody,414,MS,,,,,,,,,,,,,,,,,,,,
Wind Bands,Mendez,,Juarez,415,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Yoder, Paul",,Relax,416,Kjos,,,,,,,,,,,,,,,,,,,,
Wind Bands,Luthold,Whear,March Onward,417,Ludwig,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Cable, Howard",,Cortege,418,Chappell,,,5:00,,,,,,,,,,,,,,,,,
Wind Bands,"Rodgers, R & Hart, L.",Leidzen,Selections of Rodgers and Hart,419,Chappell & co.,,,8:50,,,,,,,,,,,,,,,,,
Wind Bands,,McLin,Black is the Color,420,Pro- Art,,,,,,,,,,,,,,,,,,,,
Wind Bands,willson,"reed, al","Unsinkanle Molly Brown, The",421,frank,,,,,,,,,,,,,,,,,,,,
Wind Bands,Lecuona,Cacavas,Malaguena,422,Marks,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Cherubini, Luigi","Bachman, Lillya",Anacreon,423,Witmark,,,,,,,,,,,,,,,,,,,,
Wind Bands,,reed,Greensleeves,424,Hansen,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Molloy, J.L.",Vinter,"Kerry Dance, The",425,Boosey-Hawkes,,,,,,,,,,,,,,,,,,,,
Wind Bands,schmidt,,Variations on a Negro Folk Song,426,avant,full,,,,,,,,,,,,,,,,,,,
Wind Bands,Riegger,,"Dance Rhythms for Band, Op. 58a",427,Associated,full,,,,,,,,,,,,,,,,,,,
Wind Bands,franck,malone,"Symphony in D minor, Mvt. 1",428,Schirmer,full,,,,,,,,,,,,,,,,,,,
Wind Bands,"Work, Julian",,Draitwood Patterns,429,Shawnee,Full,,6min,,,,,,,,,,,,,,,,,
Wind Bands,Kern,warrington,Silhouettes,430,Harms,,,,,,,,,,,,,,,,,,,,
Wind Bands,Herbert-Camarata,James,Babes in Toyland,431,Disney,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Marrill, Bob",Hawkins,Carnival Selestions,432,Robbins,,,,,,,,,,,,,,,,,,,,
Wind Bands,Osser,,Bolero for Band,433,Leeds,,,,,,,,,,,,,,,,,,,,
Wind Bands,Mascangni,caneva,Cavalleria Rustican Fantasy,434,Leonard,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Schubert, Franz",Calliet,"Symphony No. 8 in B minor ""Unfinished",435,Fischer,,,9:00,2nd mvt. Only,,,,,,,,,,,,,,,,
Wind Bands,,Hunsberger,Echoes of the 1960's,436,Fischer,,,,Civil War band Music,,,,,,,,,,,,,,,,
Wind Bands,"Mancini, Henry","Krance, John.",Selections from Mr. Lucky,437,Schirmer,437a,,8:30,2 copies,,,,,,,,,,,,,,,,
Wind Bands,"Velke, Fritz",,Concertino for Band,438,Shawnee,Full,,10:00,Excellent,,,,,,,,,,,,,,,,
Wind Bands,"Jacob, Gordon","jacob, Gordon","Earl of Oxford March from ""William Byrd Suite""",439,Boosey & hawkes,,,,The entire suite is #947,,,,,,,,,,,,,,,,
Wind Bands,sauter - Finegan,trans. Roverta,Doodletown Fifers,440,"Chas, H. Hansen",,,,,,,,,,,,,,,,,,,,
Wind Bands,"Mennin, Peter",,Canzona,441,Carl Fischer,full,,5 min,,,,,,,,,,,,,,,,,
Wind Bands,"Anderson, Leroy",,The Minstrel Boy,442,,,,,"from  the ""Irish Suite""",,,,,,,,,,,,,,,,
Wind Bands,"Latham, william",,Court Festival,443,Summy-Birchard Pub.,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Arriage, Juan",Zwicky,The Happy Slaves (Los Esclavos Felices),444,Fischer,,,,,,,,,,,,,,,,,,,,
Wind Bands,"Williams, Clifton",,Dramatic Essay,445,Summy-Birchard Pub.,,,,Trumpet solo,,,,,,,,,,,,,,,,
