library,composer,arranger,title,publisher,b-81.0,score,missing_parts,comments,drawer,type,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Orchestra,"Prokofieff, Serge",,Concerto No. 1 in D Major for Violin,Kalmus,P-4.0,Full,,,8,Concerto,,,,,,,,,,,,,,,
Orchestra,"Prokofieff, Serge",,"Lieutenant Kijo, Suite Symphonique, Op. 60",Broude,p-5.0,Full,,,8,Suite,,,,,,,,,,,,,,,
Orchestra,"Prokofieff, Serge",Guenther/Maddy,Peter and the Wolf - Triumphal March,Marks,P-6.0,Full,,,8,March,,,,,,,,,,,,,,,
Orchestra,"Prokofieff, Serge",,Symphonie Classique (Classical Symphony),E.B. Marks,P-7.0,,,,8,Symphony,,,,,,,,,,,,,,,
Orchestra,"Puccini, Giacomo",,La Coheme - Musetta's Waltz,Lucks,P-10.0,Full,,,8,Waltz,,,,,,,,,,,,,,,
Orchestra,"Puccini, Giacomo",,"La Boheme - Si, mi chiamano Mimi",Lucks,P-11.0,,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Puccini, Giacomo",,Manon Lescaut - Sola perduta,Lucks,P-12.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Puccini, Giacomo","Sheeley, John C.",Tosca - E lucevan le stelle,Manuscript,P-13.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Puccini, Giacomo",,Crisantemi,Lucks,P-7.5,,,,8,String,,,,,,,,,,,,,,,
Orchestra,"Puccini, Giacomo",,La Boheme - Addio! Donde lieta usci al tuo grido,Lucks,P-8.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Puccini, Giacomo",,La Boheme - Che gelida manina,Lucks,P-9.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Purcell, Henry",Glass,"Suite from ""The Fairy Queen""",Associated,P-14.0,Full,,,8,Suite,,,,,,,,,,,,,,,
Orchestra,"Purcell, Henry","Barbirolli, John",Suite for Strings,Oxford University Press,P-15.0,Full,,,8,Suite,,,,,,,,,,,,,,,
Orchestra,"Purcell, Henry","Wood, Henry J.",Trumpet Voluntary,Chappell,P-16.0,Full,,,8,Misc.,,,,,,,,,,,,,,,
Orchestra,"Quantz, Joh. Joachim",Schroeder,Concerto for Flute,Eulenburg,Q-1.0,,,,8,Concerto,,,,,,,,,,,,,,,
Orchestra,"Rachmaninoff, Sergei",,Concerto No. 2 in C Minor Piano Op. 18,Broude,R-1.0,Full,,,9,Concerto,,,,,,,,,,,,,,,
Orchestra,"Ravel, Maurice","Maganini, Quinto",Pavane (Strings with harp or piano),Ed. Musicians,R-2.0,Harp/Piano/Conductor,,,9,Strings,,,,,,,,,,,,,,,
Orchestra,"Ravel, Maurice","Isaac, Merle J.",Pavane,Carl Fischer/Lucks,R-2.1,Full,,,9,Misc.,,,,,,,,,,,,,,,
Orchestra,"Respighi, Ottorino",Harry A . Alshin,Antique Dances and Airs,,R 2.2,full,,,,,,,,,,,,,,,,,,,
Orchestra,"Rimsky-Korsakov, Nikolai",,Capriccio espagnol,Kalmus,R-3.0,,,,9,Misc.,,,,,,,,,,,,,,,
Orchestra,"Rimsky-Korsakov, Nikolai",Woodhouse,Christmas Night - Polonaise,Boosey & Hawkes,R-4.0,Full,,,9,Misc.,,,,,,,,,,,,,,,
Orchestra,"Rimsky-Korsakov, Nikolai","Sopkin, Henry",The Russin Easter - Overture Op. 36,Fischer,R-5.0,Full,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,"""Semiramide"" Overture",Boosey & Hawkes,R-10.0,Full,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,William Tell - Overture,Kalmus,R-11.0,Full,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,William Tell - Overture,Kalmus,R-11.0,Full,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,The Barber of Seville- Overture,Lucks,R-6.0,,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,Italians in Algeria - Overture,Lucks,R-7.0,,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,La Gazz Ladra - Overture,Lucks,R-8.0,,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,La Scala De Seta (Overture),Lucks,R-9.0,Full,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Rossini, Gioacchino",,Sonata No. 1 in G major,,,string orchestra,,,,,,,,,,,,,,,,,,,
Orchestra,"Saint-Saëns, Camille",,"Concerto No. 1 for Cello, Op. 33",Kalmus,S-1.0,Full,,,9,Concerto,,,,,,,,,,,,,,,
Orchestra,"Saint-Saëns, Camille",,Concerto No. 2 for Violin,Durand,S-2.0,,,,9,Concerto,,,,,,,,,,,,,,,
Orchestra,"Saint-Saëns, Camille",,Morceau de Concert for Horn and Orchestra,Kalmus,S-2.0,Full,,,9,Concerto,,,,,,,,,,,,,,,
Orchestra,"Saint-Saëns, Camille",Riebold,Smson & Delilah - Bacchanale,Fox,s-4.0,Full,,,9,Misc.,,,,,,,,,,,,,,,
Orchestra,"Saint-Saëns, Camille",,"""Samson And Delilah"" - Printemps oui conmence",Lucks,S-5.0,Full,,,9,Misc,,,,,,,,,,,,,,,
Orchestra,"Saint-Saëns, Camille",Matthew Jepsen,Cello Concerto / Bass Clarinet,,,,,This is a test record.,12345,,,,,,,,,,,,,,,,
Orchestra,"Sammartini, Giuseppe","Glass, P.","Concerto Grosso, op. 11",Associated,S-5.1,,,,9,String,,,,,,,,,,,,,,,
Orchestra,"Sandby, Herman",,Song of the Vermland,Fischer,S-6.0,Full,,,9,Strings,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",,Rosamunde (overture),,S 13.1,,,,,,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",Page,Rosamunde - Ballet Music No. 2,Ditson,S-10.0,,,,9,Misc.,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",Dasch,"Sinfonietta (Sonatina, op. 137)",Silver & Burdett,S-11.0,Full,,,9,Sinfonietta,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",,Symphony No. 2,Broude,S-12.0,,,,9,Symphony,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",,Symphony No. 5 in B Flat Major,Breitkopf & Hartel,S-12.0,,,,9,Symphony,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",,Symphony No. 7 in C Major- First Movement,Remick,S-13.0,Full,,,9,Movement of Symphony,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",,"Italian Overture in C Major, Op. 170",Breitkopf & Hartel,S-7.0,,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",Seredy,Marche Militaire Nos. 1 & 2,Fischer,S-8.0,Piano,,,9,March,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",,Mass No 2 in G,Breitkopf & Hartel,S-8.5,Full,,,9,Strings and Organ with Chorus,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",,Mass No. 2 in G,Breitkopf & Hartel,S-8.5,Full,,,9,Strings and Organ with chorus,,,,,,,,,,,,,,,
Orchestra,"Schubert, Franz",Stillman-Kelley,Romantic Overture,Ditson,S-9.0,Full,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Schumann, Robert",,The Poet,,G-21.0,Full,,"on same sheet with Edward Grieg's ""Hail, Star of Heaven""",5,Misc.,,,,,,,,,,,,,,,
Orchestra,"Schumann, Robert","Kramer, Walter","Abenlied - Evening Song op. 85, No. 12",Witmark & Sons,S-14.0,Full,,,9,Stings,,,,,,,,,,,,,,,
Orchestra,"Schumann, Robert",,"Concerto for Cello in A Minor, Op. 129",Kalmus,S-15.0,Full,,,9,Concerto,,,,,,,,,,,,,,,
Orchestra,"Schumann, Robert",,"Concerto in A Minor for Piano, op. 54",Breitkopf & Hartel,S-16.0,,,,9,Concerto,,,,,,,,,,,,,,,
Orchestra,"Scott, John Prindle",,The Wind's in the South wth soprano,Huntzinger & Dilworth,S-17.0,,,,9,Misc.,,,,,,,,,,,,,,,
Orchestra,"Scriabin, Alexander","Maganini, Quitno",Prelude,Ed. Musicus,S-18.0,Full,,,9,Misc.,,,,,,,,,,,,,,,
Orchestra,"Scrlatti, Alessandro","Glass, Paul",Concerto in G Minor,Associated,S-6.1,,,,9,String,,,,,,,,,,,,,,,
Orchestra,"Shostakovich, Dimitri",,Prelude & Scherzo,Kalmus,S-18.1,,,,9,Octet,,,,,,,,,,,,,,,
Orchestra,"Shostakovich, Dimitri",,"Concerto for Cello, Op. 107",,S-19.0 (A & B),Full,,,9,Concerto,,,,,,,,,,,,,,,
Orchestra,"Shostakovich, Dimitri",,"Overture Festivo, Op. 96",Lucks,S-20.0 (A & B),Full,,,9,Overture,,,,,,,,,,,,,,,
Orchestra,"Shostakovich, Dimitri",,6 Pieces from the First Ballet Suite,Lucks,S-20.5,Score Only (Full),,,9,,,,,,,,,,,,,,,,
Orchestra,"Shostakovich, Dimitri",,"Symphony No. 10, Op. 93",Kalmus,"S-21.0 (A,B,C,D)",,,Four Envelopes,10,Symphony,,,,,,,,,,,,,,,
Orchestra,"Shostakovich, Dimitri",,Symphony No. 11,Kalmus,S-22.0 (A&B),,,,10,Symphony,,,,,,,,,,,,,,,
Orchestra,"Sibelius, Jean",Schmid,Finlandia,Schirmer,S-23.0,Full,,,10,Tone Poem,,,,,,,,,,,,,,,
Orchestra,"Sibelius, Jean",,"Romanze, Op. 42",Lucks,S-23.1,,,,10,String,,,,,,,,,,,,,,,
Orchestra,"Sibelius, Jean",,"Swan of Tuonela Op. 22, No 3",Brietkopf & Hartel,S-24.0,Full,,,10,Tone Poem,,,,,,,,,,,,,,,
Orchestra,"Sibelius, Jean",,Symphony No.1,Kalmus,S-25.0 (A&B),,,,10,Symphony,,,,,,,,,,,,,,,
Orchestra,"Sibelius, Jean",,"Symphony No.2 in D Major, Op. 43",Bereitkopf & Hartel,S-26.0 (A&B),Full,,,10,Symphony,,,,,,,,,,,,,,,
Orchestra,"Sibelius, Jean","Henneberg, Paul",Valse Triste,Breitkopf & Hartel,S-27.0,Piano,,,10,Waltz,,,,,,,,,,,,,,,
Orchestra,"Siennicki, Edmund J",,Ballade for Bassoon & Strings,Elkan-Vogel,S-28.0,Full,,,10,Strings,,,,,,,,,,,,,,,
Orchestra,"Smetana, Bedřich",,"Three Dances from ""The Bartered Bride""",,29.5,,,,11,,,,,,,,,,,,,,,,
Orchestra,"Smetana, Bedřich",,My Country - No. 2 The Moldau,Breitkopf & Hartel,S-29.0,,,,10,Misc.,,,,,,,,,,,,,,,
Orchestra,"Smetana, Bedřich",,"Three Dances from ""The Bartered Bride""",Lucks,Unknown,,,Need String Parts from Dr. Wharton,Unknown,,,,,,,,,,,,,,,,
Orchestra,"Smith, L.O.",,Bohemiana,,S-30.0,Piano,,"With ""March of the Tin Soldiers"" by Gabriel Pierne",10,Misc.,,,,,,,,,,,,,,,
Orchestra,"Sordillo, Fortunato",Seredy,Spirit of Youth Overture,Fischer,S-31.0,Piano/Conductor,,,10,Misc.,,,,,,,,,,,,,,,
Orchestra,"Stix, Carl","Ormndy, Eugene",Spielerei (Child's Play),Boosey & Hawkes,S-32.0,Full,,,10,Strings,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",,Radetzky March Op 228,,S 40.1,,,,,,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",,"""The Bat"" Overture",Fischer,S-34.0,Full,,,10,Overture,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",Artok,Blue Danube Waltzes,Schott's Sohne,S-35.0,Piano/Conductor,,,10,Waltz,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",,"""Die Fledermaus"" - Adele - Laughing Song",Lucks,S-36.0,Full,,,10,Misc.,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",,"Emperor Waltzes, Op. 437",Associated,S-37.0,Full,,,10,Waltz,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",Sopkin,"Perpetuum Mobile, Op. 257",Fischer,S-38.0,Full,,,10,Misc.,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",,Pizzicato Polka,Cranz,S-39.0,,,,10,Misc.,,,,,,,,,,,,,,,
Orchestra,"Strauss, Johann",Seredy,Tales from the Vienna Woods,Fischer,S-40.0,Violin/Conductor,,,10,Waltz,,,,,,,,,,,,,,,
Orchestra,"Strauss, Richard",,"Death and Transfiguration, Op. 24",Kalmus,S-41.0,Full,,,10,Tone Poem,,,,,,,,,,,,,,,
Orchestra,"Stravinsky, Igor",Maganini,The Firebird Suite- Berceuse,Ed. Musicus,S-42.0,Full,,,10,Strings,,,,,,,,,,,,,,,
Orchestra,"Stravinsky, Igor",,The Firebird Suite - Berceuse and Finale,Lucks,S-43.0,,,,10,Suite,,,,,,,,,,,,,,,
Orchestra,"Stravinsky, Igor",,The Soldier's Tale,,S-43.5,,,,10,,,,,,,,,,,,,,,,
Orchestra,"Stravinsky, Igor",,Suite No. 1 for small orchestr,Kalmus,s-44.0,,,,10,Suite,,,,,,,,,,,,,,,
Orchestra,"Sullivan, Arthur",Reibold,Iolanthe - Entrance and March of Peers,Fox,S-45.0,Full,,,10,March,,,,,,,,,,,,,,,
Orchestra,"Suolahti, Heikki","Johnson, Thor",Sinfonia Piccola,Boodey & Hawkes,S-46.0,Piano/conductor,,,10,Sinfonietta,,,,,,,,,,,,,,,
Orchestra,"Svendsen, Johan",Dasch,Zorahayda Op. 11,Fischer,S-47.0,Full (2),,,10,Tone Poem,,,,,,,,,,,,,,,
Orchestra,"Taylor, Deems",,Casanova - Ballet Music Op.22,Fischer,T-1.0,Full,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Lenski's ir,Lucks,T-10.0,Full,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",Roberts,Marche Slav,Fischer,T-11.0,,,,11,March,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Nutcracker Suite,Kalmus,T-12.0 (A&B),None,,,12,Ballet Suite,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Serenade for Strings Op. 48,Kalmus,T-17.0,Full,,,11,String,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",Tobani,String Quartet Op. 11 - Andante Cantabile,Tischer,T-18.0,,,,11,Strigns,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich","Muller, J. Fredrick",Symphony No. 2 - Finale,Neil A. Kjos,T-19.0,Full,,,11,Symphony Movement,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,"Symphony No. 4, Op. 36",Kalmus,T-20.0 (A&B),,,,11,Symphony,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Symphony No. 5,Kalmus,"T-21.0 (A,B&C)",No Score,,,12,Symphony,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,"Symphony Pathenique, Op. 74",Kalmus,T-22.0,,,Incomplete,11,Symphony,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Variations from a Rococo Theme,Kalmus,T-23.0,,,,11,Concerto,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",Leland Forsblad,Waltz from the Sleeping Beauty,,T-24.0,,,,,,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,"1812 Overture, Op.49",Breitkopf & Hartel,T-6.0,,,,11,Overture,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich","Sopkin, Henry",Capriccio Italien (Italian Caprice) Op 45,Fischer,T-6.5,Full,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Cocnerto No. 1 in B Flat Minor for Piano,Associated,T-7.0,Full,,,11,Concerto,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Concerto in D Major for Violin,Kalmus,T-8.0,Full,,,11,Concerto,,,,,,,,,,,,,,,
Orchestra,"Tchaikovsky, Pyotr Ilyich",,Francesca da Rimini,Kalmus,T-9.0,,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Telemann, G.P",,Suite for Flute and Strings,Lucks,T-2.1,,,,11,Suite,,,,,,,,,,,,,,,
Orchestra,"Telemann, G.P.",,Don Quixote Suite,Broude,7-2.0,Full/Photocopy,,,11,Suite,,,,,,,,,,,,,,,
Orchestra,"Telemann, G.P.",,Concerto in G for Viola and Strings,Lucks,T-1.5,,,Missing Solo Viola,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Thomas, Ambroise",,"""Mignon"" - Connais to le pays",Lucks,T-3.0,Full,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Thomas, Ambroise",,Mignon - Polonaise,Leo Feist,V-4.0 (A&B),,,Album of Operatic Airs - Filed under Verdi - Aida,11,,,,,,,,,,,,,,,,
Orchestra,"Torch, Sidney",,Samba Sud,Chappell & Co.,T-4.0,Piano/Conductor,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Toreili, Guiseppe","Tarr, E.H.",,Musica Rara,T-5.0,Full,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,Traditional,"Elkan, Henri",Londenderry Air,Elkan-Vogel,E-3.0,,,,4,Strings,,,,,,,,,,,,,,,
Orchestra,Unknown,,Come Thou Almighty King,,H-28.5,,,"on sheets with ""Here We Have Idaho""",6,Misc.,,,,,,,,,,,,,,,
Orchestra,Unknown,,Here We Have Idaho,,H-28.5,,,"On sheets with ""Come Thou Almighty King""",6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Vaughan William, Ralph",,Concerto Grosso for String Orchestra,Oxford University Press,V-1.0,,,,11,String,,,,,,,,,,,,,,,
Orchestra,"Vaughn Williams, Ralph",Jacob,English Folk Song Suite,Boosey & Hawkes,V-2.0,,,,11,Suite,,,,,,,,,,,,,,,
Orchestra,"Vaughn Williams, Ralph",,Fantasia on a Theme- Thomas Tallis,Schirmer,V-3.0,,,,11,Double String Orchestra,,,,,,,,,,,,,,,
Orchestra,"Verdi, Giuseppe",,,Leo Feist,V-4.0 (A&B),,,Album of operatic airs - Contains pieces from many operas,11,March,,,,,,,,,,,,,,,
Orchestra,"Verdi, Giuseppe","Johnson, Wallace",Il Trovatore,Manuscript,V-5.0,Full/Manuscript,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Verdi, Giuseppe",,il Trovatore - D' amor sull'ali rosee,Lucks,V-6.0,Full,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Verdi, Giuseppe",,"La Traviata - Di Provenza, il mar",Lucks,V-6.5,,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Verdi, Giuseppe",,Othello - Ave Maria,Manuscript,V-7.0,,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Verdi, Giuseppe",,Rigoletto - Caro Nome,Lucks,V-8.0,Full,,,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Villa- Lobos, Heitor",,,Associated,V-9.0,,,,12,String,,,,,,,,,,,,,,,
Orchestra,"Viotti, J.B.",,Concerto for Violin,Joh. Andre,V-10.0,,,,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio",,"Concerto Grosso Op. 3, No. 8",Peters,V-11.0,,,Two Solo Violins,12,Strings,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio",,"Concerto Grosso Op. 3, No. 11",Ernest Eulenberg,V-11.1,,,,12,String,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio",,,Robbins Music Corp.,V-11.8,Full,,,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio","Muller, J. Fredrick",,Neil A. Kjos,V-12.0,Full,,,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio",,"Concerto in E Major - ""La Primavera"" (Spring)",Ricordi,V-13.0,Full,,,12,Strings,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio",,"Concerto in F Major ""L'Autunno""",Ricordi,V-14.0,,,,12,String,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio",,"Concerto in G Minor ""L'Estate""",Ricordi,V-15.0,Full,,,12,String,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio",,"Cocnerti Deele Stagioni ""L'Inverno""",Milano,V-16.0,Full,,,12,String,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio","Woehl, Waldemar",Concerto in B Minor for Four Violins,Hinrichsen,V-17.0,Full,,,12,Cocnerto,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio","Pujol, Milio",Concerto in D Major (Strings) for Guitar,Max Eschig,V-18.0,,,All Photographed Parts,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Vivaldi, Antonio","Westermann, Clayton",Gloria,Kalmus,V-19.0,,,Trumpet Part is Manuscript Only,13,Chorus & Orchestra,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,,Leo Feist,V-4.0 (A&B),,,Album of Operatic Airs - filed under Verdi - Aida,11,Misc.,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",Zumpe,Das Rheingold - Entrance of the Gods into Valhalla,Schott's Sohne,W-1.0,,,,12,Misc,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",Hertz,Tannhauser March,Ficher,W-11.0,Full,,in different key from the other Tannhauser March on file.,12,March,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",Moses,"Tannauser, March",Fischer,W-12.0,Piano,,In a different key from the other Tannhauser March we have on file,12,March,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,Tristan & Isolde Prelude and Love Death,Kalmus,W-13.0,Full,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,Die Meistersinger Intro. to Act III,Associated,W-2.0,,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,Die Meistersinger Overture,Breidkopf & Hartel,W-3.0,,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",Hertz,Die Meistersinger Walther's Prize Song,Fischer,W-4.0,Full,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,The Flying Dutchman,Kalmus,W-5.0,,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",Roberts,Lohengrin - Prelude,Fischer,w-6.0,Pinao/Conductor,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,Lohengrin - Procession to the Cathedral,,W-6.5,,,,12,,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",Schmid,Parsifal - Precession of the Grail,Boosey & Hawkes,W-7.0,,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,Rienzi - Overture,Breitkopf & Hartel,W-8.0,,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,Siegfied-Idyll,Breitkopf & Hartel,W-9.0,Full,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Wagner, Richard",,Siegfried's Rhine Journey,Kalmus,W.10.0,Full,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Warlock, Peter",,Caprio - Suite for String Orchestra,Schirmer,W-14.0,Full,,,12,Suite,,,,,,,,,,,,,,,
Orchestra,Washington/Harline,,When You Wish Upon a Star,Bourne,W-15.0,Piano/Conductor,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,"Weber, C.M. von",,Der Freischutz - Prayer and Hunting Chorus,Leo Feist,V-4.0 (A&B),,,Album of Operatic Airs - Filed under Verdi - Aida,11,Misc,,,,,,,,,,,,,,,
Orchestra,"Weber, C.M. von",,"Concerto for Bassoon in F Major, Op. 75",Lucks,W-16.0,Full,,,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Weber, C.M. von",,Der Freischutz Overture Op.77,Kalmus,W-18.0,,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Weber, C.M. von",,Euryanthe Overture,Breitkopf & Hartel,W-19.0,,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Weber, C.M. von",,Invitation to the Waltz,Fischer,W-20.0,,,,12,Waltz,,,,,,,,,,,,,,,
Orchestra,"Weber, C.M. von",,Oberon Overture,Kalmus,W-21.0,,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Weber, C.M. von",,Concerto for Clarinet Op.26,Lucks,W.17.0,Full,,,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Wieniawski, Henri",,"Concerto No. 2 for Violin, op.22",Schott's,W-22.0 (A&B),Full (Lucks),,,12,Concerto,,,,,,,,,,,,,,,
Orchestra,"Wilder, Alec",,Air for Flute and Strings,Bourne,W-23.0,Full,,,12,Strings,,,,,,,,,,,,,,,
Orchestra,"Wilder, Alec",,Air for Oboe and Strings,Bourne,W-24.0,Full,,,12,Strings,,,,,,,,,,,,,,,
Orchestra,"Wilder, Alec",,Slow Dance for Woodwinds and Strings,Bourne,W-25.0,Full,,,12,Strings,,,,,,,,,,,,,,,
Orchestra,"Wilhousky, Peter J.",Wilhousky,Battle Hymn of the Republic,Fischer/Manuscript,W-26.0,Manuscript,,,12,Misc.,,,,,,,,,,,,,,,
Orchestra,Wolf-Ferrari,Reisenfeld,Suzanne's Secret - Overture,Schirmer,W-27.0,Piano/Conductor,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Wood, Haydn",,A Manx Overture - The Iles of Mountains and Glens,Boosey & Hawkes,W-29.0,Full,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Wood, Haydn",,Apollo Overture,Boosey & Hawkes,W.28.0,Full,,,12,Overture,,,,,,,,,,,,,,,
Orchestra,"Yasinitsky, Greg",,And the Sky was Cobalt Blue,Manuscript,Y-1.0,Full,,,12,Solo trumpet with strigns,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
