library,composer,arranger,title,publisher,b-81.0,score,missing_parts,comments,drawer,type,column_12,column_13,column_14,column_15,column_16,column_17,column_18,column_19,column_20,column_21,column_22,column_23,column_24,column_25,column_26
Orchestra,"Handel, G.F.","Jacob, Gordon",Theodora - Overture,Mills,H-6.0,Full,,,5,Overture,,,,,,,,,,,,,,,
Orchestra,"Handel, G.F.",,Messiah,,,,,In Choral Library,In choral Library,,,,,,,,,,,,,,,,
Orchestra,"Hanson, Howard",,Merry Mount - Love Duet,Harms,H-7.0,Full,,,5,Misc.,,,,,,,,,,,,,,,
Orchestra,"Hanson, Howard",,,Fischer,H-8.0,Full,,,5,String,,,,,,,,,,,,,,,
Orchestra,"Hanson, Howard",,,,H-9.0,Full,,,5,Movemens of Symphonies,,,,,,,,,,,,,,,
Orchestra,"Hartley, Walter S.",,Psalm for Strings,Tenuto Pub.,H-10.0,Full,,,5,Strings,,,,,,,,,,,,,,,
Orchestra,"Haydn, Johann Michael",,"Concerto in C Major for Organ, Viola and Strings",Ludwig Doblinger,H-25.0,Full,,,6,Concerto,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Mass Number 12 in B flat Minor,,H 24.1,,,,,,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Piano Concerto in D,,H 24.2,full,,,,,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Armida Overture,Kalmus,H-11,,,,5,Overture,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",Gevaert & Zileher,,Breitkopf & Hartel,H-12.0,Full (Kalmus),,,5,Concerto,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph","Schneider, Michael",Concerto por l'organo (Concerto for Organ),Breitkopf & Hartel,H-13.0,Full,,,5,Concerto,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph","Harris, Ernest E.","Largo from Opus 76, No. 5 (The Famous Largo)",Bourne,H-14.0,Full,,,5,Misc.,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Overture in D Major,Kalmus,H-15.0,Full,,,5,Overture,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Symphony in D Minor,Associated,H-16.0,,,,5,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,"Symphony No. 94 in G Major ""Surprize""",Kalmus,H-17.0,Full,,,5,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Symphony No. 99 in E Flat Major,Bourne,H-18.0,Full,,,5,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,"Symphony No. 100 ""Militaire""",Lucks,H-19.0,Full,,,5,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,,Breitkopf & Hartel,H-20.0,,,,5,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Symphony No. 102 in B Flat Major,Breitkop & Hartel,H-21.0,Full,,,6,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,"Symphony No. 103 in E Flat Major ""Drum Roll""",Associated,H-22.0,,,,6,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,,Kalmus,H-23.0,Full,,,6,Symphony,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Te Deum,,H-24.0,,,,6,String and Choral,,,,,,,,,,,,,,,
Orchestra,"Haydn, Joseph",,Te Deum,,H-24.0,,,,6,String and Choral,,,,,,,,,,,,,,,
Orchestra,"Herbert, Victor",,Festival March,Fischer,H-26.0,Full,7 Min.,,6,March,,,,,,,,,,,,,,,
Orchestra,"Herbert, Victor",Sanford,Victor Herbert Favorites,Witmark & Sons,H-27.0,Piano/Conductor,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Herold, L.J. Ferd.",,Zampa - Overture,Lucks,H-28.0,,,,6,Overture,,,,,,,,,,,,,,,
Orchestra,"Holst, Gustav",,"A Somerset Rhapsody, Op. 21",Boosey & Hawkes,H-29.0,Piano/Conductor,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Holst, Gustav",,Brook Green Suite,G. Schirmer,H-30.0,,,No Cello Parts,6,Suite,,,,,,,,,,,,,,,
Orchestra,"Holst, Gustav",,St. Paul's Suite for String Orchestra,Schirmer,H-31.0,Full,,,6,Suite,,,,,,,,,,,,,,,
Orchestra,"Hovaness, Alan",,Paryer of Saint Gregory,Peer International Corp.,H-32.0,,,,6,Misc.,,,,,,,,,,,,,,,
Orchestra,"Hovaness, Alan",,"Psalm and Fugue for String Orchestra, Op. 40a",Peters,H-33.0,,,,6,String,,,,,,,,,,,,,,,
