Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Score Type,Publisher,Performance Date,PlayingTime,Score (Full/Cond/Oversized),Comments
Choral,"Bach, J.S.",,"Jesu, Priceless Treasure",2/29,58,,G. Schirmer,,,,,
Choral,"Bach, J.S.",,Magnificat,54/1092,,,Lawson-Gould/Peters,,,,,
Choral,"Bach, J.S.",,"My Soul, Praise Thou the Lord of Hosts",2/31,67,,Choral Art Pub.,,,,,
Choral,"Bach, J.S.",,"Passion According to St. Matthew, The",68/1305,2,,G. Schirmer,,,,,
Choral,"Bach, J.S.",,Peasant Cantata,"2/32,33",25 + 1 full score,,Carl Fischer Inc.,,,,,
Choral,"Bach, J.S.",,"Praise the Lord, All Ye Nations (Motet VI)",62/1137,,,C. F. Peters Corp.,,,,,
Choral,"Bach, J.S.",,Sanctus (from B minor Mass),2/34,29,,E.C. Shirmer Inc.,,,,,
Choral,"Bach, J.S.",,Sing Ye to the Lord,66 & 67/1297,,,H.W. Gray Co.,,,,,
Choral,"Bach, J.S.",,Sixty Chorales,66/1295,5,,Oliver Ditson Co.,,,,,
Choral,"Bach, J.S.",,Sleeper's Wake Cantata 140,71/1382,,,G. Schirmer,,,,,
Choral,"Bach, J.S.",,"Spirit Also Helpeth Us, The",Mc. Lib. 5/1331,62,,H.W. Gray Co.,,,,,
Choral,"Bach, J.S.",,The King of Love (Vespers Choral Collection),41/859,,,Boosey & Hawks,,,,,
Choral,"Bach, J.S.",,Thee With Tender Care,1/21,,,G. Schirmer,,,,,
Choral,"Bach, P.D.Q./Schickele",,Good King Kong Looked Out,Shelf/1435,30,,Theodore Presser,,,,,
Choral,"Bach, P.D.Q./Schickele",,Who Is Sylvia,48/992,,,Presser,,,,,
Choral,"Bacharach, Burt",Simeone,Walk On By,64/1208,,,,,,,,
Choral,"Bacon, Ernst",,Five Hymns,64/1192,,,,,,,,
Choral,"Bahler, John",,I Wanna Know,64/1213,,,,,,,,
Choral,"Bahler, John",,Sunny Sunday,65/1243,,,Vortex Music Inc.,,,,,
Choral,"Banchieri, Adriano",Grayson,Counterpoint of the Animals,49/1019,,,Bourne,,,,,
Choral,"Banchieri, Adriano",,Madrigal to a Nightingale,2/40,41,,Edition Musicus,,,,,
