Library,Composer,Arranger,Title,Drawer,Envelope,Copies,Score Type,Publisher,Performance Date,PlayingTime,Score (Full/Cond/Oversized),Comments
Choral,"Lambert, Louis",,When Johnny Comes Marching Home,22/474,39,,Carl Fischer,,,,,
Choral,"Lamm, Robert","Freed, Arnold",Colour My World,shelf/1558,7,SATB,Charles Hansen Music,4/6/2000,,,,
Choral,"Lancaster, Neil",Strommen,Take up the Hammer of Hope,65/1226,,,,,,,,
Choral,"Lassus, Orlando","Hunt, Charles C.",I Know a Young Maiden,13/247,36,,G. Schirmer,,,,,
Choral,"Lassus, Orlando",,Lamentations of the Prophet Jeremiah,22/475,,,Music Press Inc.,,,,,
Choral,"Lassus, Orlando",,Madrigale une Villanellen,52/1085,,,C.F. Peters,,,,,
Choral,"Lassus, Orlando",,"Matona, Lovely Maiden",22/476,16,,G. Schirmer,,,,,
Choral,"Lassus, Orlando",,My Heart is Offered Still to You,22/477,3,,G. Schirmer,,,,,
Choral,"Lauridsen, Moren",,Ubi Caritas et Amor,Shelf 1,,40,SSAATTBB,Peer Music,10/03,,a capella,
Choral,"Lauridsen, Morten",,Dirait-On,shelf/1636,35,SATB,Peer Music,,,,,
Choral,Lawrence,,Day by Day,65/1264,,,,,,,,
Choral,"Lawson, William",,Mary Had a Baby,22/478,8,,Tuskegee Institute,,,,,
Choral,"Leavitt, John",,Gloria,shelf/1515,8,SATB,Belwin Mills,3/6/2000,,,,
Choral,"Leavitt, John",,Hodie!,Shelf 2,,80,SATB,Hal-Leonard,12/03,,with piano and percussion,
Choral,"Lehman, Evangeline",,Final Gloria,22/479,27,,G. Schirmer,,,,,
Choral,"Lekberg, Sven",,Envoy,48/986,,,Fischer & Bros.,,,,,
Choral,"Lekberg, Sven",,I Will Lift up Mine Eyes,20/480,,SATB,Galexy Music Corp.,,,,,
Choral,"Lekberg, Sven",,So Wonderous Sweet and Fair,22/481,,,,,,,,
Choral,"Lekberg, Sven",,Weep of Willow,22/482,,,,,,,,
Choral,Lennon/McCartney,Azelton,Michelle,65/1231,,,,,,,,
Choral,Lennon/McCartney,"Buckvich, Dan",All My Love,Brown #29,28,,Manuscript,,,,Jazz I,
Choral,Lennon/McCartney,"Buckvich, Dan",Michelle,Brown #30,28,,Manuscript,,,,Jazz I,
Choral,Lennon/McCartney,Lojeski,Lennon/McCartney Medley #2,69/1335,,,,,,,,
Choral,Lennon/McCartney,Puerling,"Here, There and Everywhere",65/1269,,,,,,,,
Choral,Lennon/McCartney,Puerling,Michelle,65/1230,,,,,,,,
Choral,Lennon/McCartney,Puerling,Yesterday,63/1175,,,,,,,,
Choral,Lennon/McCartney,Wahlstrom,"Here, There and Everywhere",65/1257,,,,,,,,
Choral,Lennon/McCartney,Yankee,Pool on the Hill,63/1159,,,,,,,,
Choral,Lennon/McCartney,,"Here, There and Everywhere",22/483,3,,Shawnee Press,,,,,
Choral,Leontovitch,,Carol of the Bells,22/484,3,SATB,Carl Fischer,,,,,
Choral,Leontovitch,,Jan Waselu,22/485,15,,Shawnee Press,,,,,
Choral,"Levenson, Boris",,Schir Eres,22/486,66,,M. Witmark & Sons,,,,,
Choral,"Levy, Hank",Barduhn,Chiapas,63/1144,,,,,,,,
Choral,Lewis,Habash,"Tell-Tale Heart, The",23/487,48,,,,,,,
Choral,"Lieurance, Thurlow",,By Singing Waters,23/488,,,Theodore Presser,,,,,
Choral,"Ligeti, Gyorgy",,Ejszaka (Night) & Reggel (Morning),39/861,,,,,,,,
Choral,"Ligeti, Gyorgy",,Lux Aetrna,66/1293,46,,Litoffs-Peters,,,,,
Choral,"Lightfoor, Gordon","Burroughs, B.",Early Mornin' Rain,41/902,,,Warner Bros.,,,,,
Choral,"Lindh, Jody W.",,Let All the World in Every Corner Sing,shelf/1587,6,SATB,Choristers' Guild,4/17/2000,,,,
Choral,"Livingston, Jerry",Thompson,"Twelfth of Never, The",64/1209,,,,,,,,
Choral,"Lock, William",,She's Like the Swallow,shelf/1622,35,SATB,Shawnee Press,,,,,
Choral,"Lockwood, Anton",,Praise to the Lord,23/489,,,C.F. Peters,,,,,
Choral,"Lockwood, Norman",,Carol Fantasy,54/1093,55,,Associated Music Pub.,,,,,
Choral,"Lockwood, Norman",,"Closing Doxology, The",44/948,,,Broude Bros.,,,,,
Choral,"Lockwood, Norman",,Dirge for Two Veterans,23/490,,,M. Witmark & Sons,,,,,
Choral,"Loewe, Frederick",,Brigaddon,23/491,,,Sam Fox Pub.,,,,,
Choral,"Loewe, Frederick",,My Fair Lady,23/492,,,,,,,,
Choral,"Logee, Dwight",,There Will Never Be Another You,65/1225,,,,,,,,
Choral,"Logee, Dwight",,Where is the Love?,64/1207,,,,,,,,
Choral,"Lotti, Antonio",Mason,Crucifixus,23/494,,SATB,G. Schirmer,,,,,
Choral,"Lotti, Antonio",,Crucifixus,23/493,,SSATTB,G. Schirmer,,,,,
Choral,"Lowell, Dorthy D.","Wilson, Harry R.","I Need Thee, Heavenly Father",shelf/1603,3,SATB,Bourne,5/11/2000,,,,
Choral,"Lowrey, Robert","Stroope, Z. Randall",How Can I Keep From Singing,Shelf 2,,80,SATB,Alliance,10/03,,a capella,
Choral,"Luboff, Norman",,A La Nanita Nana,49/1044,,,Walton,,,,,
Choral,"Luboff, Norman",,All My Trials,shelf/1433,,,Walton,,,,,
Choral,"Luboff, Norman",,"Deer Chase, The",40/885,,,,,,,,
Choral,"Luboff, Norman",,Farewell,63/1184,,,,,,,,
Choral,"Luboff, Norman",,Kum Bachun Atzel,23/495,,,Walton,,,,,
Choral,"Luboff, Norman",,Lavender's Blue,23/496,,,Walton,,,,,
Choral,"Luboff, Norman",,"Lonely Birch Tree, The",23/497,,,Walton,,,,,
Choral,"Luboff, Norman",,Much Ado About Nothing,52/1080,,,Walton,,,,,
Choral,"Luboff, Norman",,Salangadou,23/498,,,Walton,,,,,
Choral,"Luboff, Norman",,Walkin' Lonely,23/499,,,Walton,,,,,
Choral,"Lucas, Robert",Letson,Blue Autumn,63/1156,,,,,,,,
Choral,"Lundquist, Matthew",,"Comfort, Comfort Ye my People",23/500,,,Edwin F. Kalmus,,,,,
Choral,"Luvaas, Morten J.",,Hi Ho Sing Gaily,23/501,41,,C.C. Birchard & Co.,,,,,
Choral,"Luvaas, Morten J.",,Hopsaa,23/502,26,,Neil A. Kjos Music Co.,,,,,
Choral,"Luvaas, Morten J.",,Kathryn's Wedding Day,23/503,73,,C.C. Birchard & Co.,,,,,
Choral,"Lvovsky, G.V.",,Hospodi Pomilui,23/504,,,M. Witmark & Sons,,,,,
Choral,"Lyle, J.B.",,"Colorado Trail, The",shelf/1582,5,SATB,Cambiata Press,4/17/2000,,,,
Choral,M.T.K.,,Czecho-Slovakian Song,24/505,,,M. Witmark & Sons,,,,,
Choral,"MacDonald, Ralph","Banman, L.",Where is the Love?,41/916,,,Antisia,,,,,
Choral,"Macfarlane, Will C.",,Open our Eyes,24/506,,,G. Schrimer,,,,,
Choral,"Macfarren, G.A.",,Robin Goodfellow,24/507,,,M. Witmark & Sons,,,,,
Choral,"MacGimsey, Robert",,Shadrack,24/508,55,,Carl Fischer,,,,,
Choral,"Mackin, Coope, Cherman",,"Opening Scene: ""Nocturne""",24/516A,,,,,,,,
Choral,"Macklin, Hall",H.M.M.,Away beyond the Hills of Idaho (Lyrics),24/509,,,Mimeogaped Copies,,,,,
Choral,"Macklin, Hall",,Gee-eyes-right,24/510,47,,ASUI,,,,,
Choral,"Macklin, Hall",,Here We Have Idaho,24/511,,,Photostat Copy,,,,,
Choral,"Macklin, Hall",,Home on the Range,24/513,,,Mimeographed Copies,,,,,
Choral,"Macklin, Hall",,"Idaho, Mother of Mine",24/513A,,,Photostat Copy,,,,,
Choral,"Macklin, Hall",,Let us Sing of Idaho,24/512,,,,,,,,
Choral,"Macklin, Hall",,"Light Upon the Mountains, The",24/514,,,Mimeographed Copies,,,,,
Choral,"Macklin, Hall",,Ode to Idaho,24/516,,,University of Idaho,,,,,
Choral,"Macklin, Hall",,Our Idaho,24/515,,,Mimeographed Copies,,,,,
Choral,"Macklin, Hall",,Serenity and Peace,24/517,,,Mimeographed Copies,,,,,
Choral,"Macklin, Hall",,Silver and Gold,24/518,,SATB,Mimeographed Copies,,,,,
Choral,MacLean,,Victor Herbert Favorites,24/519,,,M. Witmark & Sons,,,,,
Choral,"MacLeod, Robert",,Gaelic Mouth Music,25/538,,,Paterson's Publications,,,,,
Choral,"Maesch, LaVahn",,Dese Bones Gwine to Rise Again,24/520,,,Carl Fischer,,,,,
Choral,"Mahler, Gustav",,VIII Symphonie,Mc. Lib #4/924,8,,Universal,3/23/2000,,,Chorpartitur/Chorus score,
Choral,"Mahnke, Allen",,"Jesus, We Sonder",shelf/1522,7,SATB,Chroristers' Guild,4/14/2000,,,,
Choral,"Maiden, Willie/Dale, Vikki",,Hymn to Her,65/1270,,,,,,,,
Choral,"Malotte, Albert Hay",,"Lord's Prayer, The",26/521,,,,,,,,
Choral,"Mancini, Henry","Cassey, Chuck",Sometimes,41/917,,,Northridge,,,,,
Choral,Mann/Weic,Baumann,Make Your own Kind of Music,65/1232,,,,,,,,
Choral,Marcus-Feldman,"Leavitt, John",River in Judea,shelf/1525,7,2 part,Shawnee Press,3/7/2000,,,,
Choral,"Marenzio, Luca","Malin, Don","Hear me Now, Beloved",shelf/1572,5,SATB,Edward B. Marks Music,4/14/2000,,,,
Choral,"Marenzio, Luca","Malin, Don",See How Aurora Comes with Brow all Glowing,shelf/1595,6,SATTBB,Marks Music Corp.,4/17/2000,,,,
Choral,"Marenzio, Luca","Malin, Don",Warm was the Sun,shelf/1592,5,SSATB,Marks Music Corp.,4/17/2000,,,,
Choral,"Marenzio, Luca",,Ah! Weary am I,24/522,,,Marks Music Corp.,,,,,
Choral,"Marryott, Ralph E.",,"Ash Grove, The",24/523,19,,R.D. Row Co.,,,,,
Choral,"Marryott, Ralph E.",,Joseph's Carol,24/524,,,Remick Music Co.,,,,,
Choral,"Martin, Gilbert A.",,"Good Christians All, Rejoice!",Shelf-1,,16,SATB,Hinshaw Music,,,,
Choral,"Martin, Gilbert M.",,"Jesus Gift, The",70/1366`,25,,,,,,,
Choral,"Martinu, Buhuslav",,"Dove's Message, The",24/525,10,,Boosey & Hawkes,,,,,
Choral,"Martinu, Buhuslav",,"Fickle Sweetheart, The",24/526,,,Boosey & Hawkes,,,,,
Choral,"Martinu, Buhuslav",,Geese on the Water,24/527,,,Boosey & Hawkes,,,,,
Choral,"Martinu, Buhuslav",,"Lover's Ride, The",24/528,,,Boosey & Hawkes,,,,,
Choral,"Martinu, Buhuslav",,"Witch, The",24/529,,,Boosey & Hawkes,,,,,
Choral,"Mascagni, Pietro",,Cavalleria Rusticana,43/937,,,G. Schirmer,,,,,
Choral,"Mascagni, Pietro",,"Now Homeward, Ye Neighbors",24/530,18,,Oliver Ditson Co.,,,,,
Choral,"Mascagni, Pietro",,Prayer From Cavalleria Rusticana,24/531,,,G. Schirmer,,,,,
Choral,"Mascagni, Pietro",,Scene and Prayer from Cavalleria Rusticana,shelf/1578,3,Mixed,G. Schirmer,4/17/2000,,,,
Choral,"Matamoros, Miguel","Quick, Jonathan",Son de la loma,Shelf 1,,40,SATB,Cypress,10/03,,a capella,
Choral,"Mathews, Peter",,Missa Brevis,70/1351,,,,,,,,
Choral,"Mathis, William",,Sir Christemas,Top Shelf,63,SATB,Oxford,,,,,
Choral,"Maybee, Harper",,Three Folksongs,24/532,31,,Gamble Hinged Music Co.,,,,,
Choral,"Mayhew, Luke",,When Gabril Blows the Horn,24/533,,,Fischer,,,,,
Choral,"McCarthy, Henry",,It is a Great Day of Joy,25/534,41,,,,,,,
Choral,McCollough,,O Pensive Dove,25/535,,,,,,,,
Choral,"McCrae, William",,"Shepherds, Shake off Your Drowsy Sleep",shelf/1602,3,SATB,Mills Music Co.,5/11/2000,,,,
Choral,"McCray, J.",,"Rise up, My Love, My Fair One",shelf/1610,35,SATB,National Music Pub.,,,,Song of solomon text,
Choral,"McCray, J.",,Universal Harmony,70/1359,,,,,,,,
Choral,"McFadyen, Henry",Johnson,"Lone Wild Bird, The",25/536,,,Ausburg,,,,,
Choral,"McKay, George",,"Lark Ascending, The",25/537,21,,Lawson-Gould,,,,,
Choral,"McKeylvy, James",,Deck the Halls (in 7/8),shelf/1557,35,SATB,Mark Foster Music,4/6/2000,,,,
Choral,McLin,,In This World,58/1116,,,Neil A. Kjos,,,,,
Choral,"Mechem, Kirke",,Adam's Bride,47/979,,,Fischer,,,,,
Choral,"Mechem, Kirke",,He's gone Away,47/970,,,Carl Fischer,,,,,
Choral,"Mechem, Kirke",,It is Good to Give Thanks,shelf/1633,35,Unison,Carl Fischer,,,,Piano or organ,
Choral,"Mechem, Kirke",,Kansas Boys,47/978,,,Carl Fischer,,,,,
Choral,"Mechem, Kirke",,New York Girls,47/971,,,Carl Fischer,,,,,
Choral,"Mechem, Kirke",,Seven Joys of Christmas,62/1141,,,,,,,,
Choral,"Mehnke, Allan",,"Jesus, We Wonder",shelf/1522,6,2-part,Choristers' Guild,3/7/2000,,,,
Choral,Mendelson & Guaraldi,"Chinn, Teena",Christmas Time Is Here,shelf/1623,35,SATB,Warner Bros.,,,,,
Choral,"Mendelssohn, Felix",,Elijah,60&61/1133,,,G. Schirmer,,,,,
Choral,"Mendelssohn, Felix",,"He, Watching Over Israel",25/539,,,Schirmer,,,,,
Choral,"Mendelssohn, Felix",,Heilig (Holy),40/888,,double choir,Walton,,,,,
Choral,"Mendelssohn, Felix",,If with all Your Hearts (Elijah),25/540,72,,G. Shirmer,,,,,
Choral,"Mendelssohn, Felix",,Lift Thine Eyes to the Mountains,25/542,,,G. Schirmer,,,,,
Choral,"Mendelssohn, Felix",,"Nightengale, The",49/1024,,,Walton,,,,,
Choral,"Mendelssohn, Felix",,O Rest in the Lord (Elijah),25/543,73,,G. Schirmer,,,,,
Choral,Milchberg/Simon,,El Condor Pasa,65/1265,,,,,,,,
Choral,"Miller, John",,Ther's A Spirit Here,shelf/1509,22,SATB,Hindon Publications,,,,Spiritual,
Choral,"Monte, Philippe de",Don Malin,"Now Past, the Deadly Peril",shelf/1591,3,SSAATB,Marks Music Corp.,4/17/2000,,,Madroga;,
Choral,"Monte, Philippe de",Don Malin,On the First Day of May,shelf/1574,3,SSATB,Marks Music Corp.,4/14/2000,,,Madrigal,
Choral,"Monte, Philippe de",,Like as the Turtle Dpve (Comme la tourterelle),12/229,12,,Marks Music Corp.,,,,Secular,
Choral,"Monteverdi, Claudio",,Ave Maris Stella,73/1419,8,,Universal Edition,,,,#12 of Vespro Della Beata Virgine,
Choral,"Monteverdi, Claudio",,Ecco Mormorar L'Onde,73/1403,13,SSATB,,,,,,
Choral,"Monteverdi, Claudio",,"Kisses, So Sweet And Burning",25/541,11,,Boston Music Co.,,,,,
Choral,"Monteverdi, Claudio",,Magnificat,64/1194,,,,,,,,
Choral,"Monteverdi, Claudio",,O Leave Me (Sasciatemi Morrire),25/544,,,G. Ricardi & Co.,,,,Sacred,
Choral,"Monteverdi, Claudio",,Sfogva con le Stelle,70/1362,,,,,,,,
Choral,"Monteverdi, Claudio",,Si Ch'io Vorrei Morire,70/1360,,,,,,,,
Choral,"Monteverdi, Claudio",,Truly I Must Perish,25/545,,,Edition Musicus,,,,Secular,
Choral,"Morley, Thomas",,Agnus Dei,50/1056,,,Arista,,,,,
Choral,"Morley, Thomas",,April Is In My Mistresses Face,25/546,,,Novello & Co.,,,,Secular,
Choral,"Morley, Thomas",,"Lirum, Lirum",48/1006,,,,,,,,
Choral,"Morley, Thomas",,Now is the Month of Maying,1064,4,SATTBB,G. Shirmer,,,,Madrigal,
Choral,"Morley, Thomas",,"Shoot, False Love, I Care Not",shelf/1589,6,SSATB,Oliver Ditson Co.,4/17/2000,,,,
Choral,"Morley, Thomas",,Sing We And Chant It,25/547,,,M. Witmark & Sons,,,,Secular,
Choral,"Morrison, Theodore",,Winter Madrigals,shelf/1449,,,Earthsongs,,,,,
Choral,"Mozart, W. A.",T. Dunn,Ave Verum Corpus,25/549B,,,,,,,Entire Folder Missing 1/2000,
Choral,"Mozart, W. A.",,"Adoramus Te, Christe",57/548,,,Neil A. Kjos Music Co.,,,,Sacred,
Choral,"Mozart, W. A.",,Ave Verum Corpus,25/549A,20,Two Choirs,Witmark,,,,Sacred,
Choral,"Mozart, W. A.",,Ave Verum Corpus,25/549C,,,Sam Fox Pub.,,,,Sacred,
Choral,"Mozart, W. A.",,Dixit Dominus,72/1391,,,,,,,,
Choral,"Mozart, W. A.",,Farmer's Wife Lost Her Cat,25/550,27,,Edward B. Marks Music,,,,Folk,
Choral,"Mozart, W. A.",,Gloria,25/551,32,,Oliver Ditson Inc.,,,,Extended-Sacred,
Choral,"Mozart, W. A.",,Jubilate Deo,25/552,,,Pro Art Publication,,,,Sacred  Arranged for 8,
Choral,"Mozart, W. A.",,"Kronungs-Messe (Mass #14 ""Coronation"")",7/1326,58,,Breitkopf & Herkl,3/29/2000,,,Extended-Sacred,
Choral,"Mozart, W. A.",,Laudate Dominum,66/1289,,,,,,,,
Choral,"Mozart, W. A.",,Missa Brevis,61/1134,,,Marks Music Corp.,,,,"Chorus with 2 vns, Bass and Organ",
Choral,"Mozart, W. A.",,"Missa Brevis in F, K. 192",shelf/1598,5,SATB,G. Schirmer,4/21/2000,,,,
Choral,"Mozart, W. A.",,Quarite Primum Regnum Dei,70/1354,,,,,,,,
Choral,"Mozart, W. A.",,Regina Coeli,56/1105,,,Schirmer,,,,,
Choral,"Mozart, W. A.",,Requiem,43/1161,,,,,,,,
Choral,"Mozart, W. A.",,Sanctus and Hosanna,25/553,,,Boosey & Hawkes Inc.,,,,Extended-sacred,
Choral,"Mozart, W. A.",,Te Deum Laudamus,55/1101,,,Arista,,,,Sacred,
Choral,"Mozart, W. A.",,Thirteen Canons (Dreizehn Kanons,47/975,,,,,,,,
Choral,"Muczynski, Robert",,Synonyms For Life,25/554,,,G. Schirmer,,,,,
Choral,"Mulholland, James",,"A Red, Red Rose",shelf/ 1424,12,,European American Mus.,,,,#1 of four Robert Burns Ballads,
Choral,"Mulholland, James Quitman",,If Love Should Cound You Worthy,Shelf 2,,80,SATB,Colla Voce Music Inc.,3/04,,with horn and piano,
Choral,"Murray, Alan",,Madame Jeanette,26/555,62,,Carl Fischer Inc.,,,,Folk,
Choral,"Musser, Sandra",,Walk Dem Bones!,shelf/1508,30,,Alfred Choral Designs,3/2/2000,,,"Spiritual 3-part, any voice",
Choral,"Mussorgsky, M. P.",,"Coronation Scene from ""Boris Godunov""",20/556,,,E. C. Schirmer Inc.,,,,Extended Work,
Choral,"Nanini, G. M.",,Diffusa est Gratia,26/559,,,World Library of Sacred Music,,,,Sacred,
Choral,"Nelson, Ron",,He Came Here For Me,26/560,,,Boosey & Hawkes,,,,Sacred,
Choral,"Nelson, Ron",,Proclaim This Day for Music,Shelf 2,,80,SATB,Theodore Presser Inc.,3/04,,with brass and timpani,
Choral,"Nelson, Ron",,Proclaim This Day for Music,Shelf 2,,80,SATB,Theodore Presser Inc.,3/04,,with brass and timpani,
Choral,"Nesta, Francis J.",,The Argument,shelf/1540,7,SATB,Shawnee Press,3/7/2000,,,,
Choral,"Neufeld, ken",,The Lamb,70/1364,25,,,,,,,
Choral,"Newbury, Mickey",Ed Lojeski,An American Trilogy,49/1033,,,Hal Leonard,,,,,
Choral,"Newman, Alfred",,How the West Was Won,69/1311,,,Robbins Mus.,,,,,
Choral,"Nichols, Roger",Lojeski,Let Me Be The One,64/1217,,,,,,,,
Choral,"Niehaus, Lennie",,Brighter World,63/1145,,,,,,,,
Choral,Nigerian Folk,"Brown, Uzee Jr.",Dide ta Deo,Shelf 2,,80,SATB,Roger Dean Pub.,10/03,,with percussion,
Choral,"Nikolsky, A.",,Little Duck in the Meadow,26/562,62,,G. Schirmer Inc.,,,,Folk,
Choral,"Niles, John Jacob",,"Carol of the Angels, The",26/563,,,G. Schirmer Inc.,,,,Folk-Christmas,
Choral,"Niles, John Jacob",,I Wonder As O Wander,26/564,,,G. Schirmer Inc.,,,,Folk-Christmas,
Choral,"Niles, John Jacob",,Oh Wally Wally,26/565,,,Carl Fischer Inc.,,,,Folk,
Choral,"Niles, John Jacob",,Venezuela,26/566,26,,Carl Fischer Inc.,,,,Folk,
Choral,"Nin-Culmell, Josquin",,Come Here For Your Fruit Pulp,26/568,,,Bongwen Music Inc.,,,,Folk,
Choral,"Nin-Culmell, Josquin",,"Lost Child, The",26/567,,,Bongwen Music Inc.,,,,,
Choral,"Nin-Culmell, Josquin",,Three Traditional Cuban Songs,26/569,,,,,,,,
Choral,"Nin-Culmell, Josquin",,Where Is the Ma Teodora,26/570,,,Bongwen Music Inc.,,,,Folk,
Choral,"Nischinsky, P. I.",,Cossack Call,26/571,76,,Carl Fischer Inc.,,,,Folk,
Choral,Noble T. Tertius,,Fierce Was The Wild Billow,26/572,45,,G. Schirmer Inc.,,,,Secular,
Choral,Noble T. Tertius,,Go To Dark Gethsamane,26/573,,,H. W. Gray Co.,,,,Sacred,
Choral,Noble T. Tertius,,"Nightengale, The",26/574,11,,Banks & Sons,,,,Secular,
Choral,Noble T. Tertius,,Souls of the Righteous,26/575,,,Theodore Presser,,,,Sacred,
Choral,"Noble, Ray",Rizzo,Cherokee,63/1171,,,,,,,,
Choral,"Norden, N. Lindsay",,Only Begotten Son,27/576,,,J. Fischer & Bro.,,,,Sacred,
Choral,"Nosse, Carl E.",,Know Ye Not?,27/577,30,,Choral Art Publishers,,,,Sacred,
Choral,"Nystedt, Kent",,The Path of the Just,47/972,,,Augsburg,,,,,
Choral,"Nystedt, Knut",,Cry Out And Shout,27/578,,,Summy-Birchard Co.,,,,,
Choral,"Nystedt, Knut",,O Crax,72/1386,,,Hinshaw Music,,,,,
Choral,"Nystedt, Knut",,Three Motets,shelf/1555,7,SATB,Augsburg Publishing,4/5/2000,,,Sacred,
Choral,"Ockeghem, Johannes",,Alma Redemptoris Mater,27/580,,,Arista Music Co.,,,,,
Choral,"O'Donnell, J. M.",,"Go, Vandals, Go!",Idaho Shelf/582,,,Mimeograph copy,,,,Folk-Idaho,
Choral,"Offenbach, Jacques",,Neighbors' Chorus fro La jolie Parfumeuse,shelf/1477,3,,Broude Brothers,,,,Opera,
Choral,"O'Hara, Geoffrey",,"Let's Sing, Let's Play, Let's Work",27/581,45,,Carl Fischer Inc.,,,,Secular,
Choral,"Olatunji, Via and Wendell Whalum","Brooks, Barrington",Betelehemu,Shelf-1,,16,SATB,Lawson-Gould,,,Nigerian Carol,
Choral,"Olds, W.B.",,A Christmas Choralogue,68/1310,,,Carl Fischer Inc.,,,,Extended work,
Choral,Oliver/Garris,Shaw,Opus One,65/1247,,,,,,,,
Choral,"Oliveros, Pauline",,Sound Patterns,49/1045,,,European American Mus. Corp.,,,,,
Choral,"Orff, Carl",,Carmina Burana,55/1102,,,B. Schott's Sohne,,,,Extended secular,
Choral,"Pachelbel, Johann","Woodward, H.",Deus in Adjutorium,42/930,,,,,,,,
Choral,"Pachelbel, Johann",,Magnificat in C,54/1104,,,Summy Birchard,,,,Extended sacred,
Choral,"Pachelbel, Johann",,Shout to the Lord,59/1122,,,Concordia Pub. House,,,,Extended sacred,
Choral,"Paladilhe, Emile",,Benedictus,27/586,,,Neil A. Kjos Music Co.,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",Bedell,O Blessed Jesu,64/1193,,,,,,,,
Choral,"Palestrina, G. Pierliugi",Don Malin,O Kindly Jesus,shelf/1590,7,SATTB,Marks Music,4/17/2000,,,Madrigal,
Choral,"Palestrina, G. Pierliugi",,"Adoramus Te, Christe",27/587,,,G. Schirmer Inc.,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",,Assumpta est Maria,27/588,,,Mercury Music Corp.,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",,Canzonetta,27/589,43,,Edition Musicus,,,,Secular,
Choral,"Palestrina, G. Pierliugi",,Exultante Deo,27/590,,,M. Witmark & Sons,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",,Gloria Patri,27/591,,,G. Schirmer Inc.,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",,Hodie Christus Natus Est,29/592,,,G. Schirmer Inc.,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",,Missa Brevis,73/1406,17,,Arista,,,,,
Choral,"Palestrina, G. Pierliugi",,Sicut cervus desiderat;Sitivit anima mea,42/934,,,Schirmer,,,,,
Choral,"Palestrina, G. Pierliugi",,Tenebre Factae Sunt,27/593,,,Oliver Ditson,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",,Three Masses for 6 Voices,68/1307,,,Edwin F. Kalmus,,,,,
Choral,"Palestrina, G. Pierliugi",,"We Do Worship Thee, O Christ",27/594,,,Willis Music Co.,,,,Sacred,
Choral,"Palestrina, G. Pierliugi",,When Flow'ry Meadows Deck the Year,27/595,9,,G. Schirmer,,,,,
Choral,"Palmgren, Selim",,Butterflies,48/998,,,Walton,,,,,
Choral,"Palmgren, Selim",,Lovely Evening,48/999,,,Walton,,,,,
Choral,"Palmgren, Selim",,Northern Lights,27/596,7,,M. Witmark & Sons,,,,Secular,
Choral,"Palmgren, Selim",,Sorrow,27/597,,,G. Schirmer Inc.,,,,Secular,
Choral,"Parker, Alice",,Earth Woman,shelf/1455,40,,Lawson-Gould,,,,,
Choral,Passereau,,He Is Good and Handsone,27/599,30,,Bourne Inc.,,,,Secular,
Choral,"Pears, James R.",,Bread of the World (Vespers Choral Collection),41/859,,,Boosey & Hawkes,,,,,
Choral,"Pearsall, Robert L. de",,When Allen-a-dale-want a-hunting,27/601,,,Oliver Ditsun,,,,Folk,
Choral,"Peloquin, Alex",,Psalm 100,52/1081,,,G. I. A.,,,,,
Choral,"Penhorwood, Erwin",,A Plea For Peace,shelf/1491,5,SATB,"Hinshaw Music, Inc.",11/30/1999,,,Organ acc.,
Choral,"Penn, Arthur A.",,Sing Along,27/602,,,M. Witmark & Sons,,,,Secular,
Choral,"Penn, Robert",,The Wit And Wisdom of Benjamin Franklin,27/603,,,Robert Dean Co.,,,,,
Choral,"Pergolesi, G. B.",,O Quan Tristis et Afflicta (O How Mornful),27/604,45,,Boosey & Hawkes Inc.,,,,Extended-sacred,
Choral,"Pergolesi, G. B.",,Stabat Mater,Music Library 4/1334,14,,G. Schirmer,3/29/2000,,,,
Choral,"Persichetti, Vincent",,A Clear Midnight,48/995,,,,,,,,
Choral,"Persichetti, Vincent",,I Sing the Body Electric,48/997,,,,,,,,
Choral,"Persichetti, Vincent",,Mass,58/1117,65,,Elkan-Vogel Co.,,,,,
Choral,"Persichetti, Vincent",,Proverb,27/605,42,,Elkan-Vogel Co.,,,,,
Choral,"Persichetti, Vincent",,Sam Was A Man,28/606,,,"G. Schirmer, Inc.",,,,2 prt. Men or Women.  Octavo No. 9791,
Choral,"Persichetti, Vincent",,Sing Me the Universal,48/996,,,,,,,,
Choral,"Persichetti, Vincent",,There is that in me,48/994,,,,,,,,
Choral,"Perti, Giacomo",,Magnificat a 4,58/1119,,,,,,,,
Choral,"Petroff, P.",,Kalinka,28/607,16,,M. Witmark & Sons,,,,Folk,
Choral,"Pfautsch, Lloyd",,A Salute to Heritage,50/1063,,SATB,,,,,,
Choral,"Pfautsch, Lloyd",,Befana,52/1084,,,Lawson-Gould,,,,,
Choral,"Pfautsch, Lloyd",,"Christ: Foundation, Head and Cornerstone",28/608,31,,G. Schirmer,,,,Sacred,
Choral,"Pfautsch, Lloyd",,Grossfader's Historiker-Versen,28/609,28,,Lawson-Gould,,,,,
Choral,"Pfautsch, Lloyd",,Musick's Empire,48/1002,,,Lawson-Gould,,,,,
